,ctrl_A,ctrl_A_TEX,ctrl_B,ctrl_B_TEX,inf_A,inf_A_TEX,inf_B,inf_B_TEX
ID=cds-AAG03405.1;Parent=gene-PA0015;Dbxref=NCBI_GP:AAG03405.1;Name=AAG03405.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG03405.1;transl_table=11,61,206,60,184,48,281.125,33,336
ID=cds-AAG03406.1;Parent=gene-PA0016;Dbxref=NCBI_GP:AAG03406.1;Name=AAG03406.1;Note=Product name confidence: Class 2 (High similarity to functionally studied protein);gbkey=CDS;gene=trkA;product=potassium uptake protein TrkA;protein_id=AAG03406.1;transl_table=11,534,481.0344828,470.0714286,506.0769231,276,502,177,389
ID=cds-AAG03407.1;Parent=gene-PA0017;Dbxref=NCBI_GP:AAG03407.1;Name=AAG03407.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=conserved hypothetical protein;protein_id=AAG03407.1;transl_table=11,157,103.3333333,123,108.5690476,100,103.0909091,81,68
ID=cds-AAG03408.1;Parent=gene-PA0018;Dbxref=NCBI_GP:AAG03408.1;Name=AAG03408.1;Note=Product name confidence: Class 2 (High similarity to functionally studied protein);gbkey=CDS;gene=fmt;product=methionyl-tRNA formyltransferase;protein_id=AAG03408.1;transl_table=11,142,98.7,117,83,105,48,49,58
ID=cds-AAG03409.1;Parent=gene-PA0019;Dbxref=NCBI_GP:AAG03409.1;Name=AAG03409.1;Note=Product name confidence: Class 2 (High similarity to functionally studied protein);gbkey=CDS;gene=def;product=polypeptide deformylase;protein_id=AAG03409.1;transl_table=11,725,304.2857143,589,324,531,240,398,251
ID=cds-AAG03410.1;Parent=gene-PA0020;Dbxref=NCBI_GP:AAG03410.1;Name=AAG03410.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG03410.1;transl_table=11,370,256.3333333,245,274.2,207,200.5,133,189
ID=cds-AAG03411.1;Parent=gene-PA0021;Dbxref=NCBI_GP:AAG03411.1;Name=AAG03411.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=conserved hypothetical protein;protein_id=AAG03411.1;transl_table=11,1,6.333333333,3,4,1,5.111111111,1.333333333,4
ID=cds-AAG03412.1;Parent=gene-PA0022;Dbxref=NCBI_GP:AAG03412.1;Name=AAG03412.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=conserved hypothetical protein;protein_id=AAG03412.1;transl_table=11,63,1105.2,75,1003,82,1658,56,1961
ID=cds-AAG03413.1;Parent=gene-PA0023;Dbxref=NCBI_GP:AAG03413.1;Name=AAG03413.1;Note=Product name confidence: Class 2 (High similarity to functionally studied protein);gbkey=CDS;gene=qor;product=quinone oxidoreductase;protein_id=AAG03413.1;transl_table=11,50,180,38,177,72.2,248.2,35,223.4
ID=cds-AAG03414.1;Parent=gene-PA0024;Dbxref=NCBI_GP:AAG03414.1;Name=AAG03414.1;Note=Product name confidence: Class 2 (High similarity to functionally studied protein);gbkey=CDS;gene=hemF;product=coproporphyrinogen III oxidase%2C aerobic;protein_id=AAG03414.1;transl_table=11,223,688,208,641.6428571,203.5,879.0909091,141,875.125
ID=cds-AAG03415.1;Parent=gene-PA0025;Dbxref=NCBI_GP:AAG03415.1;Name=AAG03415.1;Note=Product name confidence: Class 2 (High similarity to functionally studied protein);gbkey=CDS;gene=aroE;product=shikimate dehydrogenase;protein_id=AAG03415.1;transl_table=11,89,75.5,90,61,54,72.125,31,102
ID=cds-AAG03416.1;Parent=gene-PA0026;Dbxref=NCBI_GP:AAG03416.1;Name=AAG03416.1;Note=Product name confidence: Class 1 (Function experimentally demonstrated in P. aeruginosa);gbkey=CDS;gene=plcB;product=phospholipase C%2C PlcB;protein_id=AAG03416.1;transl_table=11,82,183.1111111,66,171,24,80,17,83
ID=cds-AAG03417.1;Parent=gene-PA0027;Dbxref=NCBI_GP:AAG03417.1;Name=AAG03417.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG03417.1;transl_table=11,18,15,7,9,7,10.5,10,8
ID=cds-AAG03418.1;Parent=gene-PA0028;Dbxref=NCBI_GP:AAG03418.1;Name=AAG03418.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG03418.1;transl_table=11,4,4,2,9.025641026,2,3,2,2
ID=cds-AAG03419.1;Parent=gene-PA0029;Dbxref=NCBI_GP:AAG03419.1;Name=AAG03419.1;Note=Product name confidence: Class 3 (Function proposed based on presence of conserved amino acid motif%2C structural feature or limited sequence similarity to an experimentally studied gene);gbkey=CDS;product=probable sulfate transporter;protein_id=AAG03419.1;transl_table=11,2,12,5,16.125,5,34,0,19.2
ID=cds-AAG03420.1;Parent=gene-PA0030;Dbxref=NCBI_GP:AAG03420.1;Name=AAG03420.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG03420.1;transl_table=11,9,15,4,14.2,2,19.16666667,3,28.11111111
ID=cds-AAG03421.1;Parent=gene-PA0031;Dbxref=NCBI_GP:AAG03421.1;Name=AAG03421.1;Note=Product name confidence: Class 2 (High similarity to functionally studied protein);gbkey=CDS;gene=betC;product=choline sulfatase;protein_id=AAG03421.1;transl_table=11,11,54,5,57.16666667,12.5,86,12,106.7666667
ID=cds-AAG03422.1;Parent=gene-PA0032;Dbxref=NCBI_GP:AAG03422.1;Name=AAG03422.1;Note=Product name confidence: Class 3 (Function proposed based on presence of conserved amino acid motif%2C structural feature or limited sequence similarity to an experimentally studied gene);gbkey=CDS;product=probable transcriptional regulator;protein_id=AAG03422.1;transl_table=11,53,917,47,866,47,1105,35,1086
ID=cds-AAG03423.1;Parent=gene-PA0033;Dbxref=NCBI_GP:AAG03423.1;Name=AAG03423.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG03423.1;transl_table=11,3,1,3,3,3,3.125,1,4
ID=cds-AAG03424.1;Parent=gene-PA0034;Dbxref=NCBI_GP:AAG03424.1;Name=AAG03424.1;Note=Product name confidence: Class 3 (Function proposed based on presence of conserved amino acid motif%2C structural feature or limited sequence similarity to an experimentally studied gene);gbkey=CDS;product=probable two-component response regulator;protein_id=AAG03424.1;transl_table=11,37,136,30,128,12,125,12,108
ID=cds-AAG03425.1;Parent=gene-PA0035;Dbxref=NCBI_GP:AAG03425.1;Name=AAG03425.1;Note=Product name confidence: Class 1 (Function experimentally demonstrated in P. aeruginosa);gbkey=CDS;gene=trpA;product=tryptophan synthase alpha chain;protein_id=AAG03425.1;transl_table=11,44,36,39,33,42,48.11111111,35,63
ID=cds-AAG03426.1;Parent=gene-PA0036;Dbxref=NCBI_GP:AAG03426.1;Name=AAG03426.1;Note=Product name confidence: Class 1 (Function experimentally demonstrated in P. aeruginosa);gbkey=CDS;gene=trpB;product=tryptophan synthase beta chain;protein_id=AAG03426.1;transl_table=11,183,167,111,150.3333333,157,282.5333333,123,262
ID=cds-AAG03427.1;Parent=gene-PA0037;Dbxref=NCBI_GP:AAG03427.1;Name=AAG03427.1;Note=Product name confidence: Class 1 (Function experimentally demonstrated in P. aeruginosa);gbkey=CDS;gene=trpI;product=transcriptional regulator TrpI;protein_id=AAG03427.1;transl_table=11,49,273.75,23,204.0384615,48,269,42,258.25
ID=cds-AAG03428.1;Parent=gene-PA0038;Dbxref=NCBI_GP:AAG03428.1;Name=AAG03428.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG03428.1;transl_table=11,66,76,39,67,62,103,48,104
ID=cds-AAG03429.1;Parent=gene-PA0039;Dbxref=NCBI_GP:AAG03429.1;Name=AAG03429.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG03429.1;transl_table=11,347,3806.166667,266,3967,176,2502,122,1840
ID=cds-AAG03430.1;Parent=gene-PA0040;Dbxref=NCBI_GP:AAG03430.1;Name=AAG03430.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=conserved hypothetical protein;protein_id=AAG03430.1;transl_table=11,94.75,55.07692308,62,49.83333333,52,34.06666667,31,36.5
ID=cds-AAG03431.1;Parent=gene-PA0041;Dbxref=NCBI_GP:AAG03431.1;Name=AAG03431.1;Note=Product name confidence: Class 3 (Function proposed based on presence of conserved amino acid motif%2C structural feature or limited sequence similarity to an experimentally studied gene);gbkey=CDS;product=probable hemagglutinin;protein_id=AAG03431.1;transl_table=11,397,506.6416667,250.7222222,460.4214744,215.5769231,739.7005952,151,654.5291667
ID=cds-AAG03432.1;Parent=gene-PA0042;Dbxref=NCBI_GP:AAG03432.1;Name=AAG03432.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG03432.1;transl_table=11,140,1821,73.5,1699,108,2197,78,2052
ID=cds-AAG03433.1;Parent=gene-PA0043;Dbxref=NCBI_GP:AAG03433.1;Name=AAG03433.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG03433.1;transl_table=11,13,33.16666667,9,25.0702381,14,39,13,29
ID=cds-AAG03434.1;Parent=gene-PA0044;Dbxref=NCBI_GP:AAG03434.1;Name=AAG03434.1;Note=Product name confidence: Class 1 (Function experimentally demonstrated in P. aeruginosa);gbkey=CDS;gene=exoT;product=exoenzyme T;protein_id=AAG03434.1;transl_table=11,200,218.3333333,178,247.2,71,180,58,181.2
ID=cds-AAG03435.1;Parent=gene-PA0045;Dbxref=NCBI_GP:AAG03435.1;Name=AAG03435.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG03435.1;transl_table=11,565,216,397,244.45,257,115,121,134
ID=cds-AAG03436.1;Parent=gene-PA0046;Dbxref=NCBI_GP:AAG03436.1;Name=AAG03436.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG03436.1;transl_table=11,294,122,232,126,125,55,56,47.5
ID=cds-AAG03437.1;Parent=gene-PA0047;Dbxref=NCBI_GP:AAG03437.1;Name=AAG03437.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG03437.1;transl_table=11,95,51,42,40,36,34,24,30
ID=cds-AAG03438.1;Parent=gene-PA0048;Dbxref=NCBI_GP:AAG03438.1;Name=AAG03438.1;Note=Product name confidence: Class 3 (Function proposed based on presence of conserved amino acid motif%2C structural feature or limited sequence similarity to an experimentally studied gene);gbkey=CDS;product=probable transcriptional regulator;protein_id=AAG03438.1;transl_table=11,3,20,1,23.11111111,1,47,4,59
ID=cds-AAG03439.1;Parent=gene-PA0049;Dbxref=NCBI_GP:AAG03439.1;Name=AAG03439.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG03439.1;transl_table=11,10.07142857,5.071428571,4,7.468253968,14,13.53968254,9.071428571,26.64285714
ID=cds-AAG03440.1;Parent=gene-PA0050;Dbxref=NCBI_GP:AAG03440.1;Name=AAG03440.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG03440.1;transl_table=11,3,1,0,3,0,0,2,11
ID=cds-AAG03441.1;Parent=gene-PA0051;Dbxref=NCBI_GP:AAG03441.1;Name=AAG03441.1;Note=Product name confidence: Class 2 (High similarity to functionally studied protein);gbkey=CDS;gene=phzH;product=potential phenazine-modifying enzyme;protein_id=AAG03441.1;transl_table=11,6,34,4,34,5,40,5,84
ID=cds-AAG03442.1;Parent=gene-PA0052;Dbxref=NCBI_GP:AAG03442.1;Name=AAG03442.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG03442.1;transl_table=11,4,4,2,7.1,1,4,1,19
ID=cds-AAG03443.1;Parent=gene-PA0053;Dbxref=NCBI_GP:AAG03443.1;Name=AAG03443.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG03443.1;transl_table=11,98,475,78,488,57,621,41,514
ID=cds-AAG03444.1;Parent=gene-PA0054;Dbxref=NCBI_GP:AAG03444.1;Name=AAG03444.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=conserved hypothetical protein;protein_id=AAG03444.1;transl_table=11,34,23.33333333,13,35,23,35,14,34
ID=cds-AAG03445.1;Parent=gene-PA0055;Dbxref=NCBI_GP:AAG03445.1;Name=AAG03445.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG03445.1;transl_table=11,69,337,61,391.5,75.33333333,435,56,498.1428571
ID=cds-AAG03446.1;Parent=gene-PA0056;Dbxref=NCBI_GP:AAG03446.1;Name=AAG03446.1;Note=Product name confidence: Class 3 (Function proposed based on presence of conserved amino acid motif%2C structural feature or limited sequence similarity to an experimentally studied gene);gbkey=CDS;product=probable transcriptional regulator;protein_id=AAG03446.1;transl_table=11,16,118.1428571,12.25,122,12,170,11.07692308,191
ID=cds-AAG03447.1;Parent=gene-PA0057;Dbxref=NCBI_GP:AAG03447.1;Name=AAG03447.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG03447.1;transl_table=11,7,31,7,34,7,37,7,48
ID=cds-AAG03448.1;Parent=gene-PA0058;Dbxref=NCBI_GP:AAG03448.1;Name=AAG03448.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG03448.1;transl_table=11,2,5,0,4,0,2,0,2.181818182
ID=cds-AAG03449.1;Parent=gene-PA0059;Dbxref=NCBI_GP:AAG03449.1;Name=AAG03449.1;Note=Product name confidence: Class 2 (High similarity to functionally studied protein);gbkey=CDS;gene=osmC;product=osmotically inducible protein OsmC;protein_id=AAG03449.1;transl_table=11,5,16,3,6,17,44.66666667,7,77
ID=cds-AAG03450.1;Parent=gene-PA0060;Dbxref=NCBI_GP:AAG03450.1;Name=AAG03450.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=conserved hypothetical protein;protein_id=AAG03450.1;transl_table=11,50,952,47,1037,86,1859.5,70,1959
ID=cds-AAG03451.1;Parent=gene-PA0061;Dbxref=NCBI_GP:AAG03451.1;Name=AAG03451.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG03451.1;transl_table=11,9,20,8,18,9,39.36111111,10,36
ID=cds-AAG03452.1;Parent=gene-PA0062;Dbxref=NCBI_GP:AAG03452.1;Name=AAG03452.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG03452.1;transl_table=11,6.25,3,4,4,14,21.33333333,9,20
ID=cds-AAG03453.1;Parent=gene-PA0063;Dbxref=NCBI_GP:AAG03453.1;Name=AAG03453.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG03453.1;transl_table=11,59,790.0588235,40,769,84,1349,59,1405
ID=cds-AAG03454.1;Parent=gene-PA0064;Dbxref=NCBI_GP:AAG03454.1;Name=AAG03454.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG03454.1;transl_table=11,80,47.5,49,54,69,98,34,94
ID=cds-AAG03455.1;Parent=gene-PA0065;Dbxref=NCBI_GP:AAG03455.1;Name=AAG03455.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG03455.1;transl_table=11,97,55.30952381,50,46.62959957,95,44,46,44.09090909
ID=cds-AAG03456.1;Parent=gene-PA0066;Dbxref=NCBI_GP:AAG03456.1;Name=AAG03456.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=conserved hypothetical protein;protein_id=AAG03456.1;transl_table=11,112,346,79,314.5,128.5,462,77,678
ID=cds-AAG03457.1;Parent=gene-PA0067;Dbxref=NCBI_GP:AAG03457.1;Name=AAG03457.1;Note=Product name confidence: Class 2 (High similarity to functionally studied protein);gbkey=CDS;gene=prlC;product=oligopeptidase A;protein_id=AAG03457.1;transl_table=11,439.1428571,633.6428571,365.6111111,622.4166667,435.6818182,956.1401515,291.3333333,867.9099567
ID=cds-AAG03458.1;Parent=gene-PA0068;Dbxref=NCBI_GP:AAG03458.1;Name=AAG03458.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG03458.1;transl_table=11,68,46,58,32,43,35,29,44
ID=cds-AAG03459.1;Parent=gene-PA0069;Dbxref=NCBI_GP:AAG03459.1;Name=AAG03459.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=conserved hypothetical protein;protein_id=AAG03459.1;transl_table=11,61,47,35,40,25,64,16,65
ID=cds-AAG03460.1;Parent=gene-PA0070;Dbxref=NCBI_GP:AAG03460.1;Name=AAG03460.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG03460.1;transl_table=11,466.03125,278.4095238,250.4,197.2,260,157.8,119,102.6
ID=cds-AAG03461.1;Parent=gene-PA0071;Dbxref=NCBI_GP:AAG03461.1;Name=AAG03461.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG03461.1;transl_table=11,838,4839.5,516,4906.783333,654,6974,476,6438
ID=cds-AAG03462.1;Parent=gene-PA0072;Dbxref=NCBI_GP:AAG03462.1;Name=AAG03462.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG03462.1;transl_table=11,25,19,7,13,13.25,16.125,8,12
ID=cds-AAG03463.1;Parent=gene-PA0073;Dbxref=NCBI_GP:AAG03463.1;Name=AAG03463.1;Note=Product name confidence: Class 3 (Function proposed based on presence of conserved amino acid motif%2C structural feature or limited sequence similarity to an experimentally studied gene);gbkey=CDS;product=probable ATP-binding component of ABC transporter;protein_id=AAG03463.1;transl_table=11,14,8,9,6,5,4,4,7.066666667
"ID=cds-AAG03464.1;Parent=gene-PA0074;Dbxref=NCBI_GP:AAG03464.1,PseudoCap:PA0074;Name=AAG03464.1;Note=Product name confidence: Class 1: Function experimentally demonstrated in P. aeruginosa.;gbkey=CDS;gene=ppkA;product=serine/threonine protein kinase PpkA;protein_id=AAG03464.1;transl_table=11",183,138.0166667,100,97.54349817,134,111,87,157.2
"ID=cds-AAG03465.1;Parent=gene-PA0075;Dbxref=NCBI_GP:AAG03465.1,PseudoCap:PA0075;Name=AAG03465.1;Note=Product name confidence: Class 1: Function experimentally demonstrated in P. aeruginosa.;gbkey=CDS;gene=pppA;product=PppA;protein_id=AAG03465.1;transl_table=11",50,34,43,19,49,30.33333333,35,57
ID=cds-AAG03466.1;Parent=gene-PA0076;Dbxref=NCBI_GP:AAG03466.1;Name=AAG03466.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG03466.1;transl_table=11,42,53.5,29,46.1,32,90.5,20,93.5
"ID=cds-AAG03467.1;Parent=gene-PA0077;Dbxref=NCBI_GP:AAG03467.1,PseudoCap:PA0077;Name=AAG03467.1;Note=Product name confidence: Class 2: Function of highly similar gene experimentally demonstrated in another organism (and gene context consistent in terms of pathways its involved in%2C if known).;gbkey=CDS;gene=icmF1;product=IcmF1;protein_id=AAG03467.1;transl_table=11",260,154.45,152,84.32692308,206,157.1111111,101,104.5333333
ID=cds-AAG03468.1;Parent=gene-PA0078;Dbxref=NCBI_GP:AAG03468.1;Name=AAG03468.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG03468.1;transl_table=11,51,29.2,50,17,62,30,26,19.125
ID=cds-AAG03469.1;Parent=gene-PA0079;Dbxref=NCBI_GP:AAG03469.1;Name=AAG03469.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG03469.1;transl_table=11,96.14285714,92.4,76,47.14285714,90,56,53,46.2
ID=cds-AAG03470.1;Parent=gene-PA0080;Dbxref=NCBI_GP:AAG03470.1;Name=AAG03470.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG03470.1;transl_table=11,87,30,57,16,73,19,43,8.325
