,JP_PAO1_A_cip,JP_PAO1_B_cip,JP_PAO1_C_cip,JP_1128_A_cip,JP_1128_B_cip,JP_1128_C_cip,JP_1139_A_cip,JP_1139_B_cip,JP1139_C_cip
AS_CDS:PA0005:lptA:lysophosphatidic_acid_acyltransferase%2C_LptA:cds4:-:773:NC_002516.2,25,60,16,39,2,11,33,16,3
CDS:PA0006:-:D%2CD-heptose_1%2C7-bisphosphate_phosphatase:cds5:-:536:NC_002516.2,130,370,96,353,29,105,279,113,43
AS_CDS:PA0006:-:D%2CD-heptose_1%2C7-bisphosphate_phosphatase:cds5:-:536:NC_002516.2,60,119,57,86,17,25,99,55,30
"IGR:(CDS,PA0006,-,D%2CD-heptose_1%2C7-bisphosphate_phosphatase,cds5,-,536/CDS,PA0007,-,hypothetical_protein,cds6,+,1706):+:290:NC_002516.2",987,2820,797,3026,426,400,1695,887,371
"AS_IGR:(CDS,PA0006,-,D%2CD-heptose_1%2C7-bisphosphate_phosphatase,cds5,-,536/CDS,PA0007,-,hypothetical_protein,cds6,+,1706):+:290:NC_002516.2",6,11,1,12,0,3,12,2,3
CDS:PA0007:-:hypothetical_protein:cds6:+:1706:NC_002516.2,960,2656,774,2709,413,423,1520,853,401
AS_CDS:PA0007:-:hypothetical_protein:cds6:+:1706:NC_002516.2,50,169,41,171,18,26,63,48,10
CDS:PA0008:glyS:glycyl-tRNA_synthetase_subunit_beta:cds7:-:2054:NC_002516.2,638,1523,440,1506,201,273,861,436,203
AS_CDS:PA0008:glyS:glycyl-tRNA_synthetase_subunit_beta:cds7:-:2054:NC_002516.2,38,147,47,140,19,10,86,39,16
CDS:PA0009:glyQ:glycyl-tRNA_synthetase_subunit_alpha:cds8:-:947:NC_002516.2,176,621,178,506,63,105,283,127,64
AS_CDS:PA0009:glyQ:glycyl-tRNA_synthetase_subunit_alpha:cds8:-:947:NC_002516.2,17,46,8,39,7,9,18,2,1
"IGR:(CDS,PA0009,glyQ,glycyl-tRNA_synthetase_subunit_alpha,cds8,-,947/CDS,PA0010,tag,DNA-3-methyladenine_glycosidase_I,cds9,+,551):+:63:NC_002516.2",7,7,3,7,3,3,6,3,1
"AS_IGR:(CDS,PA0009,glyQ,glycyl-tRNA_synthetase_subunit_alpha,cds8,-,947/CDS,PA0010,tag,DNA-3-methyladenine_glycosidase_I,cds9,+,551):+:63:NC_002516.2",4,9,4,10,0,4,3,2,1
CDS:PA0010:tag:DNA-3-methyladenine_glycosidase_I:cds9:+:551:NC_002516.2,68,85,18,59,16,21,41,30,11
AS_CDS:PA0010:tag:DNA-3-methyladenine_glycosidase_I:cds9:+:551:NC_002516.2,5,24,2,24,1,3,1,2,20
"IGR:(CDS,PA0010,tag,DNA-3-methyladenine_glycosidase_I,cds9,+,551/CDS,PA0011,-,lipid_A_biosynthesis_lauroyl_acyltransferase,cds10,+,887):+:92:NC_002516.2",5,7,1,5,0,1,5,4,1
"AS_IGR:(CDS,PA0010,tag,DNA-3-methyladenine_glycosidase_I,cds9,+,551/CDS,PA0011,-,lipid_A_biosynthesis_lauroyl_acyltransferase,cds10,+,887):+:92:NC_002516.2",1,5,0,2,1,1,0,1,3
CDS:PA0011:-:lipid_A_biosynthesis_lauroyl_acyltransferase:cds10:+:887:NC_002516.2,137,395,146,357,38,59,192,79,48
AS_CDS:PA0011:-:lipid_A_biosynthesis_lauroyl_acyltransferase:cds10:+:887:NC_002516.2,49,92,19,67,9,17,53,27,16
"IGR:(CDS,PA0011,-,lipid_A_biosynthesis_lauroyl_acyltransferase,cds10,+,887/CDS,PA0012,-,hypothetical_protein,cds11,+,266):+:33:NC_002516.2",6,12,3,13,2,3,5,4,1
"AS_IGR:(CDS,PA0011,-,lipid_A_biosynthesis_lauroyl_acyltransferase,cds10,+,887/CDS,PA0012,-,hypothetical_protein,cds11,+,266):+:33:NC_002516.2",0,2,0,2,0,1,1,0,0
CDS:PA0012:-:hypothetical_protein:cds11:+:266:NC_002516.2,58,137,36,152,9,14,78,44,26
AS_CDS:PA0012:-:hypothetical_protein:cds11:+:266:NC_002516.2,7,14,6,16,9,9,13,3,0
"IGR:(CDS,PA0012,-,hypothetical_protein,cds11,+,266/CDS,PA0013,-,hypothetical_protein,cds12,+,653):+:95:NC_002516.2",20,31,9,47,2,5,26,14,12
"AS_IGR:(CDS,PA0012,-,hypothetical_protein,cds11,+,266/CDS,PA0013,-,hypothetical_protein,cds12,+,653):+:95:NC_002516.2",6,10,5,15,9,6,8,1,0
CDS:PA0013:-:hypothetical_protein:cds12:+:653:NC_002516.2,50,140,35,132,10,40,76,57,32
AS_CDS:PA0013:-:hypothetical_protein:cds12:+:653:NC_002516.2,29,51,21,39,17,6,40,15,5
CDS:PA0014:-:hypothetical_protein:cds13:-:272:NC_002516.2,51,103,41,94,14,26,62,36,8
AS_CDS:PA0014:-:hypothetical_protein:cds13:-:272:NC_002516.2,7,12,6,9,0,1,4,3,3
"IGR:(CDS,PA0014,-,hypothetical_protein,cds13,-,272/CDS,PA0015,-,hypothetical_protein,cds14,-,317):+:241:NC_002516.2",35,133,43,118,23,13,57,41,18
"AS_IGR:(CDS,PA0014,-,hypothetical_protein,cds13,-,272/CDS,PA0015,-,hypothetical_protein,cds14,-,317):+:241:NC_002516.2",43,78,14,100,12,13,72,26,14
CDS:PA0015:-:hypothetical_protein:cds14:-:317:NC_002516.2,145,417,78,429,40,63,294,114,65
AS_CDS:PA0015:-:hypothetical_protein:cds14:-:317:NC_002516.2,46,82,54,116,25,23,60,38,9
"IGR:(CDS,PA0015,-,hypothetical_protein,cds14,-,317/CDS,PA0016,trkA,potassium_transporter_peripheral_membrane_protein,cds15,-,1373):+:97:NC_002516.2",4,5,0,11,3,2,6,5,0
"AS_IGR:(CDS,PA0015,-,hypothetical_protein,cds14,-,317/CDS,PA0016,trkA,potassium_transporter_peripheral_membrane_protein,cds15,-,1373):+:97:NC_002516.2",13,30,7,34,2,4,14,7,2
CDS:PA0016:trkA:potassium_transporter_peripheral_membrane_protein:cds15:-:1373:NC_002516.2,219,434,129,454,60,68,257,154,80
AS_CDS:PA0016:trkA:potassium_transporter_peripheral_membrane_protein:cds15:-:1373:NC_002516.2,30,127,42,131,17,41,72,24,10
CDS:PA0017:-:hypothetical_protein:cds16:-:1304:NC_002516.2,216,575,196,463,101,101,298,157,60
AS_CDS:PA0017:-:hypothetical_protein:cds16:-:1304:NC_002516.2,52,113,21,109,12,11,87,40,19
CDS:PA0018:fmt:methionyl-tRNA_formyltransferase:cds17:-:944:NC_002516.2,183,421,137,357,74,91,251,132,54
AS_CDS:PA0018:fmt:methionyl-tRNA_formyltransferase:cds17:-:944:NC_002516.2,10,30,5,17,1,0,11,5,4
"IGR:(CDS,PA0018,fmt,methionyl-tRNA_formyltransferase,cds17,-,944/CDS,PA0019,def,peptide_deformylase,cds18,-,506):+:3:NC_002516.2",0,1,0,1,0,0,0,0,0
"AS_IGR:(CDS,PA0018,fmt,methionyl-tRNA_formyltransferase,cds17,-,944/CDS,PA0019,def,peptide_deformylase,cds18,-,506):+:3:NC_002516.2",4,13,3,12,2,2,8,3,2
CDS:PA0019:def:peptide_deformylase:cds18:-:506:NC_002516.2,1348,4089,1244,3721,586,674,2401,1208,555
AS_CDS:PA0019:def:peptide_deformylase:cds18:-:506:NC_002516.2,25,83,6,92,6,11,24,17,8
"IGR:(CDS,PA0019,def,peptide_deformylase,cds18,-,506/CDS,PA0020,-,hypothetical_protein,cds19,+,1025):+:97:NC_002516.2",37,138,33,123,10,16,70,26,14
"AS_IGR:(CDS,PA0019,def,peptide_deformylase,cds18,-,506/CDS,PA0020,-,hypothetical_protein,cds19,+,1025):+:97:NC_002516.2",300,799,242,822,116,133,416,206,83
CDS:PA0020:-:hypothetical_protein:cds19:+:1025:NC_002516.2,825,2371,749,2123,304,344,1236,593,279
AS_CDS:PA0020:-:hypothetical_protein:cds19:+:1025:NC_002516.2,72,188,53,170,22,29,91,43,20
"IGR:(CDS,PA0020,-,hypothetical_protein,cds19,+,1025/CDS,PA0021,-,hypothetical_protein,cds20,+,1088):+:83:NC_002516.2",18,61,17,56,6,8,29,9,6
"AS_IGR:(CDS,PA0020,-,hypothetical_protein,cds19,+,1025/CDS,PA0021,-,hypothetical_protein,cds20,+,1088):+:83:NC_002516.2",2,1,0,1,0,0,1,0,0
CDS:PA0021:-:hypothetical_protein:cds20:+:1088:NC_002516.2,34,64,38,56,8,9,41,23,8
AS_CDS:PA0021:-:hypothetical_protein:cds20:+:1088:NC_002516.2,69,153,46,136,13,27,85,49,28
CDS:PA0022:-:hypothetical_protein:cds21:+:557:NC_002516.2,159,342,114,374,44,65,241,101,49
AS_CDS:PA0022:-:hypothetical_protein:cds21:+:557:NC_002516.2,114,287,71,324,40,42,150,82,39
CDS:PA0023:qor:quinone_oxidoreductase:cds22:-:977:NC_002516.2,133,317,100,324,55,101,218,122,53
AS_CDS:PA0023:qor:quinone_oxidoreductase:cds22:-:977:NC_002516.2,91,287,74,291,26,50,156,109,34
"IGR:(CDS,PA0023,qor,quinone_oxidoreductase,cds22,-,977/CDS,PA0024,hemF,coproporphyrinogen_III_oxidase,cds23,+,917):+:149:NC_002516.2",8,32,7,27,2,4,23,8,3
"AS_IGR:(CDS,PA0023,qor,quinone_oxidoreductase,cds22,-,977/CDS,PA0024,hemF,coproporphyrinogen_III_oxidase,cds23,+,917):+:149:NC_002516.2",6,16,4,18,2,2,12,8,2
CDS:PA0024:hemF:coproporphyrinogen_III_oxidase:cds23:+:917:NC_002516.2,187,384,196,375,65,52,250,153,34
AS_CDS:PA0024:hemF:coproporphyrinogen_III_oxidase:cds23:+:917:NC_002516.2,4,17,17,36,11,10,25,19,5
"IGR:(CDS,PA0024,hemF,coproporphyrinogen_III_oxidase,cds23,+,917/CDS,PA0025,aroE,shikimate_5-dehydrogenase,cds24,+,824):+:6:NC_002516.2",1,4,2,3,1,1,2,1,0
"AS_IGR:(CDS,PA0024,hemF,coproporphyrinogen_III_oxidase,cds23,+,917/CDS,PA0025,aroE,shikimate_5-dehydrogenase,cds24,+,824):+:6:NC_002516.2",0,0,0,0,0,0,0,0,0
CDS:PA0025:aroE:shikimate_5-dehydrogenase:cds24:+:824:NC_002516.2,184,399,99,414,41,82,195,94,49
AS_CDS:PA0025:aroE:shikimate_5-dehydrogenase:cds24:+:824:NC_002516.2,27,53,22,56,13,6,37,19,22
"IGR:(CDS,PA0025,aroE,shikimate_5-dehydrogenase,cds24,+,824/CDS,PA0026,plcB,phospholipase_C%2C_PlcB,cds25,+,986):+:59:NC_002516.2",3,14,3,11,2,2,8,4,3
"AS_IGR:(CDS,PA0025,aroE,shikimate_5-dehydrogenase,cds24,+,824/CDS,PA0026,plcB,phospholipase_C%2C_PlcB,cds25,+,986):+:59:NC_002516.2",0,1,1,1,1,0,2,0,0
CDS:PA0026:plcB:phospholipase_C%2C_PlcB:cds25:+:986:NC_002516.2,257,688,215,792,82,129,510,289,128
AS_CDS:PA0026:plcB:phospholipase_C%2C_PlcB:cds25:+:986:NC_002516.2,17,50,21,68,13,3,24,5,5
CDS:PA0027:plcB:hypothetical_protein:cds26:+:1286:NC_002516.2,357,907,292,1077,159,127,610,277,94
AS_CDS:PA0027:plcB:hypothetical_protein:cds26:+:1286:NC_002516.2,14,50,2,45,6,12,41,27,1
CDS:PA0028:-:hypothetical_protein:cds27:+:602:NC_002516.2,154,471,114,554,52,71,270,140,46
AS_CDS:PA0028:-:hypothetical_protein:cds27:+:602:NC_002516.2,2,21,16,28,0,7,11,18,2
CDS:PA0029:-:sulfate_transporter:cds28:-:1553:NC_002516.2,63,142,25,172,15,38,80,61,28
AS_CDS:PA0029:-:sulfate_transporter:cds28:-:1553:NC_002516.2,64,282,71,302,38,68,189,84,58
CDS:PA0030:-:hypothetical_protein:cds29:-:923:NC_002516.2,12,49,13,30,3,6,29,13,5
AS_CDS:PA0030:-:hypothetical_protein:cds29:-:923:NC_002516.2,4,24,13,45,6,14,21,29,7
CDS:PA0031:betC:choline_sulfatase:cds30:-:1511:NC_002516.2,38,126,37,156,11,24,81,47,30
AS_CDS:PA0031:betC:choline_sulfatase:cds30:-:1511:NC_002516.2,114,313,88,302,78,47,151,103,23
"IGR:(CDS,PA0031,betC,choline_sulfatase,cds30,-,1511/CDS,PA0032,-,transcriptional_regulator,cds31,+,914):+:71:NC_002516.2",5,15,3,19,1,2,8,3,2
"AS_IGR:(CDS,PA0031,betC,choline_sulfatase,cds30,-,1511/CDS,PA0032,-,transcriptional_regulator,cds31,+,914):+:71:NC_002516.2",0,1,1,2,0,0,0,1,0
CDS:PA0032:-:transcriptional_regulator:cds31:+:914:NC_002516.2,42,155,35,146,13,23,75,36,21
AS_CDS:PA0032:-:transcriptional_regulator:cds31:+:914:NC_002516.2,44,121,47,122,19,16,66,30,18
CDS:PA0032a:-:DOPA_4%2C5-dioxygenase:cds32:+:377:NC_002516.2,91,176,42,153,36,26,119,48,18
AS_CDS:PA0032a:-:DOPA_4%2C5-dioxygenase:cds32:+:377:NC_002516.2,10,14,7,6,1,3,6,2,3
CDS:PA0033:-:hypothetical_protein:cds33:-:365:NC_002516.2,2,14,6,1,0,1,2,2,3
AS_CDS:PA0033:-:hypothetical_protein:cds33:-:365:NC_002516.2,83,239,69,187,23,26,128,63,18
CDS:PA0034:-:two-component_response_regulator:cds34:-:623:NC_002516.2,25,31,23,14,5,4,26,14,9
AS_CDS:PA0034:-:two-component_response_regulator:cds34:-:623:NC_002516.2,44,115,24,116,12,14,79,48,14
"IGR:(CDS,PA0034,-,two-component_response_regulator,cds34,-,623/CDS,PA0035,trpA,tryptophan_synthase_subunit_alpha,cds35,-,806):+:134:NC_002516.2",5,47,4,44,7,8,28,6,4
"AS_IGR:(CDS,PA0034,-,two-component_response_regulator,cds34,-,623/CDS,PA0035,trpA,tryptophan_synthase_subunit_alpha,cds35,-,806):+:134:NC_002516.2",10,27,9,27,1,4,14,10,3
CDS:PA0035:trpA:tryptophan_synthase_subunit_alpha:cds35:-:806:NC_002516.2,191,432,111,436,62,65,319,139,67
AS_CDS:PA0035:trpA:tryptophan_synthase_subunit_alpha:cds35:-:806:NC_002516.2,45,180,49,218,22,35,103,70,17
CDS:PA0036:trpB:tryptophan_synthase_subunit_beta:cds36:-:1208:NC_002516.2,130,396,98,419,89,61,214,131,33
AS_CDS:PA0036:trpB:tryptophan_synthase_subunit_beta:cds36:-:1208:NC_002516.2,70,144,44,163,15,32,105,52,31
"IGR:(CDS,PA0036,trpB,tryptophan_synthase_subunit_beta,cds36,-,1208/CDS,PA0037,trpI,transcriptional_regulator_TrpI,cds37,+,887):+:62:NC_002516.2",3,7,1,5,1,0,5,1,1
"AS_IGR:(CDS,PA0036,trpB,tryptophan_synthase_subunit_beta,cds36,-,1208/CDS,PA0037,trpI,transcriptional_regulator_TrpI,cds37,+,887):+:62:NC_002516.2",3,9,2,8,1,2,4,4,0
CDS:PA0037:trpI:transcriptional_regulator_TrpI:cds37:+:887:NC_002516.2,70,273,45,280,46,31,142,72,41
AS_CDS:PA0037:trpI:transcriptional_regulator_TrpI:cds37:+:887:NC_002516.2,27,125,40,122,11,10,87,46,9
"IGR:(CDS,PA0037,trpI,transcriptional_regulator_TrpI,cds37,+,887/CDS,PA0038,-,hypothetical_protein,cds38,+,215):+:49:NC_002516.2",7,11,4,18,3,3,14,3,3
"AS_IGR:(CDS,PA0037,trpI,transcriptional_regulator_TrpI,cds37,+,887/CDS,PA0038,-,hypothetical_protein,cds38,+,215):+:49:NC_002516.2",1,4,0,3,0,1,2,2,0
CDS:PA0038:-:hypothetical_protein:cds38:+:215:NC_002516.2,146,358,135,437,67,65,325,121,76
AS_CDS:PA0038:-:hypothetical_protein:cds38:+:215:NC_002516.2,5,20,0,27,1,4,15,9,1
"IGR:(CDS,PA0038,-,hypothetical_protein,cds38,+,215/CDS,PA0039,-,hypothetical_protein,cds39,+,227):+:132:NC_002516.2",318,950,271,1009,136,154,742,293,171
"AS_IGR:(CDS,PA0038,-,hypothetical_protein,cds38,+,215/CDS,PA0039,-,hypothetical_protein,cds39,+,227):+:132:NC_002516.2",3,10,0,15,2,2,8,5,1
CDS:PA0039:-:hypothetical_protein:cds39:+:227:NC_002516.2,2229,6770,1917,7633,1060,1172,5678,2140,1172
AS_CDS:PA0039:-:hypothetical_protein:cds39:+:227:NC_002516.2,19,36,4,53,17,4,27,13,5
"IGR:(CDS,PA0039,-,hypothetical_protein,cds39,+,227/CDS,PA0040,-,hypothetical_protein,cds40,+,1688):+:245:NC_002516.2",666,1996,583,2401,325,348,1739,641,309
"AS_IGR:(CDS,PA0039,-,hypothetical_protein,cds39,+,227/CDS,PA0040,-,hypothetical_protein,cds40,+,1688):+:245:NC_002516.2",10,25,10,42,4,1,20,20,2
CDS:PA0040:-:hypothetical_protein:cds40:+:1688:NC_002516.2,371,961,317,985,169,132,513,264,99
AS_CDS:PA0040:-:hypothetical_protein:cds40:+:1688:NC_002516.2,18,50,24,51,3,20,29,20,6
"IGR:(CDS,PA0040,-,hypothetical_protein,cds40,+,1688/CDS,PA0041,-,hemagglutinin,cds41,+,10607):+:61:NC_002516.2",5,12,4,8,2,2,6,2,1
"AS_IGR:(CDS,PA0040,-,hypothetical_protein,cds40,+,1688/CDS,PA0041,-,hemagglutinin,cds41,+,10607):+:61:NC_002516.2",0,3,1,2,1,0,3,1,0
CDS:PA0041:-:hemagglutinin:cds41:+:10607:NC_002516.2,1184,3795,1073,4209,742,654,2269,1230,465
AS_CDS:PA0041:-:hemagglutinin:cds41:+:10607:NC_002516.2,251,642,222,699,117,120,378,255,83
"IGR:(CDS,PA0041,-,hemagglutinin,cds41,+,10607/CDS,PA0041a,-,transposase,cds42,+,701):+:548:NC_002516.2",135,398,72,468,54,47,216,105,44
"AS_IGR:(CDS,PA0041,-,hemagglutinin,cds41,+,10607/CDS,PA0041a,-,transposase,cds42,+,701):+:548:NC_002516.2",0,7,2,0,0,1,1,0,0
CDS:PA0041a:-:transposase:cds42:+:701:NC_002516.2,12,49,9,60,6,1,31,10,3
AS_CDS:PA0041a:-:transposase:cds42:+:701:NC_002516.2,1,4,3,0,0,3,4,0,3
"IGR:(CDS,PA0041a,-,transposase,cds42,+,701/CDS,PA0042,-,hypothetical_protein,cds43,+,395):+:1672:NC_002516.2",95,299,89,196,31,29,164,50,25
"AS_IGR:(CDS,PA0041a,-,transposase,cds42,+,701/CDS,PA0042,-,hypothetical_protein,cds43,+,395):+:1672:NC_002516.2",20,50,23,45,5,2,17,13,9
CDS:PA0042:-:hypothetical_protein:cds43:+:395:NC_002516.2,54,129,30,100,8,13,60,25,30
AS_CDS:PA0042:-:hypothetical_protein:cds43:+:395:NC_002516.2,12,31,10,26,5,6,15,10,7
"IGR:(CDS,PA0042,-,hypothetical_protein,cds43,+,395/CDS,PA0043,-,hypothetical_protein,cds44,-,1382):+:209:NC_002516.2",39,84,28,69,5,14,22,21,11
"AS_IGR:(CDS,PA0042,-,hypothetical_protein,cds43,+,395/CDS,PA0043,-,hypothetical_protein,cds44,-,1382):+:209:NC_002516.2",19,43,10,55,5,12,28,11,8
CDS:PA0043:-:hypothetical_protein:cds44:-:1382:NC_002516.2,68,254,73,338,53,48,174,86,47
AS_CDS:PA0043:-:hypothetical_protein:cds44:-:1382:NC_002516.2,37,119,43,83,14,14,34,21,18
"IGR:(CDS,PA0043,-,hypothetical_protein,cds44,-,1382/CDS,PA0044,exoT,exoenzyme_T,cds45,+,1373):+:150:NC_002516.2",2,10,4,5,0,4,3,2,1
"AS_IGR:(CDS,PA0043,-,hypothetical_protein,cds44,-,1382/CDS,PA0044,exoT,exoenzyme_T,cds45,+,1373):+:150:NC_002516.2",34,74,29,83,15,14,63,18,7
CDS:PA0044:exoT:exoenzyme_T:cds45:+:1373:NC_002516.2,138,388,78,419,45,101,248,105,66
AS_CDS:PA0044:exoT:exoenzyme_T:cds45:+:1373:NC_002516.2,137,377,116,413,71,55,241,109,28
"IGR:(CDS,PA0044,exoT,exoenzyme_T,cds45,+,1373/CDS,PA0045,-,hypothetical_protein,cds46,+,686):+:445:NC_002516.2",48,103,60,114,22,27,76,44,20
"AS_IGR:(CDS,PA0044,exoT,exoenzyme_T,cds45,+,1373/CDS,PA0045,-,hypothetical_protein,cds46,+,686):+:445:NC_002516.2",10,12,1,17,4,0,9,9,0
CDS:PA0045:-:hypothetical_protein:cds46:+:686:NC_002516.2,57,209,71,194,21,41,55,54,25
AS_CDS:PA0045:-:hypothetical_protein:cds46:+:686:NC_002516.2,23,108,20,103,26,3,47,45,16
CDS:PA0046:-:hypothetical_protein:cds47:+:353:NC_002516.2,47,114,31,96,9,16,39,19,4
AS_CDS:PA0046:-:hypothetical_protein:cds47:+:353:NC_002516.2,11,17,2,28,6,3,21,1,2
"IGR:(CDS,PA0046,-,hypothetical_protein,cds47,+,353/CDS,PA0047,-,hypothetical_protein,cds48,+,509):+:101:NC_002516.2",9,34,8,29,3,4,9,5,6
"AS_IGR:(CDS,PA0046,-,hypothetical_protein,cds47,+,353/CDS,PA0047,-,hypothetical_protein,cds48,+,509):+:101:NC_002516.2",3,7,2,9,1,1,8,0,1
CDS:PA0047:-:hypothetical_protein:cds48:+:509:NC_002516.2,72,302,58,246,44,56,131,63,32
AS_CDS:PA0047:-:hypothetical_protein:cds48:+:509:NC_002516.2,28,117,31,108,12,24,80,40,20
CDS:PA0048:-:transcriptional_regulator:cds49:-:383:NC_002516.2,59,127,29,190,33,39,103,56,43
AS_CDS:PA0048:-:transcriptional_regulator:cds49:-:383:NC_002516.2,61,245,39,189,53,28,91,43,19
"IGR:(CDS,PA0048,-,transcriptional_regulator,cds49,-,383/CDS,PA0049,-,hypothetical_protein,cds50,-,1661):+:230:NC_002516.2",27,89,10,58,6,10,20,13,9
"AS_IGR:(CDS,PA0048,-,transcriptional_regulator,cds49,-,383/CDS,PA0049,-,hypothetical_protein,cds50,-,1661):+:230:NC_002516.2",69,106,34,131,40,35,83,51,12
CDS:PA0049:-:hypothetical_protein:cds50:-:1661:NC_002516.2,164,439,111,443,76,101,407,170,106
AS_CDS:PA0049:-:hypothetical_protein:cds50:-:1661:NC_002516.2,23,127,16,119,14,18,56,32,17
"IGR:(CDS,PA0049,-,hypothetical_protein,cds50,-,1661/CDS,PA0050,-,hypothetical_protein,cds51,+,140):+:568:NC_002516.2",79,205,71,211,35,34,136,92,22
"AS_IGR:(CDS,PA0049,-,hypothetical_protein,cds50,-,1661/CDS,PA0050,-,hypothetical_protein,cds51,+,140):+:568:NC_002516.2",821,1629,561,1928,325,432,1323,751,294
CDS:PA0050:-:hypothetical_protein:cds51:+:140:NC_002516.2,172,591,152,639,88,84,359,225,78
AS_CDS:PA0050:-:hypothetical_protein:cds51:+:140:NC_002516.2,6,8,4,20,3,1,2,6,0
"IGR:(CDS,PA0050,-,hypothetical_protein,cds51,+,140/CDS,PA0051,phzH,phenazine-modifying_protein,cds52,+,1832):+:772:NC_002516.2",223,876,243,1209,174,192,517,288,172
"AS_IGR:(CDS,PA0050,-,hypothetical_protein,cds51,+,140/CDS,PA0051,phzH,phenazine-modifying_protein,cds52,+,1832):+:772:NC_002516.2",13,26,5,70,6,13,21,14,4
CDS:PA0051:phzH:phenazine-modifying_protein:cds52:+:1832:NC_002516.2,13,51,11,69,6,10,17,18,7
AS_CDS:PA0051:phzH:phenazine-modifying_protein:cds52:+:1832:NC_002516.2,20,81,33,116,34,21,83,52,11
CDS:PA0052:-:hypothetical_protein:cds53:-:428:NC_002516.2,63,172,63,274,45,44,278,116,53
AS_CDS:PA0052:-:hypothetical_protein:cds53:-:428:NC_002516.2,7,18,2,31,3,2,18,3,4
"IGR:(CDS,PA0052,-,hypothetical_protein,cds53,-,428/gene,PA0053,-,-,gene54,+,470):+:418:NC_002516.2",110,323,97,308,68,59,229,123,53
"AS_IGR:(CDS,PA0052,-,hypothetical_protein,cds53,-,428/gene,PA0053,-,-,gene54,+,470):+:418:NC_002516.2",42,98,30,105,8,24,85,33,13
gene:PA0053:-:-:gene54:+:470:NC_002516.2,298,589,177,558,130,90,438,218,74
AS_gene:PA0053:-:-:gene54:+:470:NC_002516.2,59,153,35,211,16,16,117,29,28
CDS:PA0054:-:RNA_2%27-phosphotransferase-like_protein:cds54:-:548:NC_002516.2,62,82,43,101,5,31,55,23,21
AS_CDS:PA0054:-:RNA_2%27-phosphotransferase-like_protein:cds54:-:548:NC_002516.2,187,368,91,356,47,49,208,100,46
CDS:PA0055:-:hypothetical_protein:cds55:-:506:NC_002516.2,72,147,34,117,11,20,80,66,11
AS_CDS:PA0055:-:hypothetical_protein:cds55:-:506:NC_002516.2,42,134,29,99,18,28,88,33,16
"IGR:(CDS,PA0055,-,hypothetical_protein,cds55,-,506/CDS,PA0056,-,transcriptional_regulator,cds56,-,920):+:14:NC_002516.2",0,2,1,2,0,1,1,0,0
"AS_IGR:(CDS,PA0055,-,hypothetical_protein,cds55,-,506/CDS,PA0056,-,transcriptional_regulator,cds56,-,920):+:14:NC_002516.2",1,2,1,2,1,0,1,1,0
CDS:PA0056:-:transcriptional_regulator:cds56:-:920:NC_002516.2,25,47,38,80,7,10,27,19,0
AS_CDS:PA0056:-:transcriptional_regulator:cds56:-:920:NC_002516.2,39,99,40,127,27,15,74,25,15
"IGR:(CDS,PA0056,-,transcriptional_regulator,cds56,-,920/CDS,PA0057,-,hypothetical_protein,cds57,+,887):+:66:NC_002516.2",1,4,2,3,2,0,1,1,0
