"","Uniprot_ID","GO_Terms","eggNOG"
"17","B1MCJ1","Holliday junction helicase complex [GO:0009379]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; four-way junction helicase activity [GO:0009378]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]; SOS response [GO:0009432]",NA
"18","B1MGD4","ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; zinc ion binding [GO:0008270]; translation [GO:0006412]",NA
"19","B1MMI2","ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]",NA
"20","B1MC85","cytoplasm [GO:0005737]; triose-phosphate isomerase activity [GO:0004807]; gluconeogenesis [GO:0006094]; glycolytic process [GO:0006096]",NA
"21","B1MGE7","large ribosomal subunit [GO:0015934]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; transferase activity [GO:0016740]; translation [GO:0006412]",NA
"22","B1MH61","DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; magnesium ion binding [GO:0000287]; zinc ion binding [GO:0008270]; transcription, DNA-templated [GO:0006351]",NA
"23","B1MFN1","ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]",NA
"24","B1MKI7","ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; phosphoribosylglycinamide formyltransferase 2 activity [GO:0043815]; phosphoribosylglycinamide formyltransferase activity [GO:0004644]; 'de novo' IMP biosynthetic process [GO:0006189]",NA
"25","B1MGD7","large ribosomal subunit [GO:0015934]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]",NA
"26","B1MGA2","ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049]; translation [GO:0006412]",NA
"27","B1MGA1","ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]",NA
"28","B1MH40","4-hydroxy-2-oxovalerate aldolase activity [GO:0008701]; manganese ion binding [GO:0030145]; aromatic compound catabolic process [GO:0019439]",NA
"29","B1MBV1","integral component of plasma membrane [GO:0005887]; phosphatidylglycerol-prolipoprotein diacylglyceryl transferase activity [GO:0008961]; lipoprotein biosynthetic process [GO:0042158]",NA
"30","B1MAX9","cytoplasm [GO:0005737]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; lysine-tRNA ligase activity [GO:0004824]; lysyltransferase activity [GO:0050071]; magnesium ion binding [GO:0000287]; lipid metabolic process [GO:0006629]; lysyl-tRNA aminoacylation [GO:0006430]; response to antibiotic [GO:0046677]",NA
"31","B1MDL1","integral component of plasma membrane [GO:0005887]; P-type potassium transmembrane transporter activity [GO:0008556]; potassium ion binding [GO:0030955]",NA
"32","B1MGB3","cytoplasm [GO:0005737]; adenylate kinase activity [GO:0004017]; ATP binding [GO:0005524]; AMP salvage [GO:0044209]",NA
"33","B1MB69","cytoplasm [GO:0005737]; malate synthase activity [GO:0004474]; metal ion binding [GO:0046872]; glyoxylate cycle [GO:0006097]; tricarboxylic acid cycle [GO:0006099]",NA
"34","B1MLU6","cytoplasm [GO:0005737]; ATP binding [GO:0005524]; homoserine kinase activity [GO:0004413]; threonine biosynthetic process [GO:0009088]",NA
"35","B1MDP6","GTP binding [GO:0005525]; phospholactate guanylyltransferase activity [GO:0043814]; F420-0 metabolic process [GO:0052645]",NA
"36","B1MCU7","1-deoxy-D-xylulose-5-phosphate synthase activity [GO:0008661]; magnesium ion binding [GO:0000287]; thiamine pyrophosphate binding [GO:0030976]; 1-deoxy-D-xylulose 5-phosphate biosynthetic process [GO:0052865]; terpenoid biosynthetic process [GO:0016114]; thiamine biosynthetic process [GO:0009228]",NA
"37","B1MGH7","cytoplasm [GO:0005737]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation elongation factor activity [GO:0003746]",NA
"38","B1MDQ0","3-isopropylmalate dehydratase complex [GO:0009316]; 3-isopropylmalate dehydratase activity [GO:0003861]; leucine biosynthetic process [GO:0009098]",NA
"39","B1MG21","methenyltetrahydrofolate cyclohydrolase activity [GO:0004477]; methylenetetrahydrofolate dehydrogenase (NADP+) activity [GO:0004488]; histidine biosynthetic process [GO:0000105]; methionine biosynthetic process [GO:0009086]; purine nucleotide biosynthetic process [GO:0006164]; tetrahydrofolate interconversion [GO:0035999]",NA
"40","B1MDL2","class I DNA-(apurinic or apyrimidinic site) endonuclease activity [GO:0140078]; damaged DNA binding [GO:0003684]; oxidized purine nucleobase lesion DNA N-glycosylase activity [GO:0008534]; zinc ion binding [GO:0008270]; base-excision repair [GO:0006284]",NA
"41","B1MDU8","glutamyl-tRNA(Gln) amidotransferase complex [GO:0030956]; ATP binding [GO:0005524]; glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity [GO:0050567]; translation [GO:0006412]",NA
"42","B1MBX3","cytoplasm [GO:0005737]; imidazoleglycerol-phosphate synthase activity [GO:0000107]; lyase activity [GO:0016829]; histidine biosynthetic process [GO:0000105]",NA
"43","B1MBD0","catalase activity [GO:0004096]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; hydrogen peroxide catabolic process [GO:0042744]; response to oxidative stress [GO:0006979]",NA
"44","B1MBD0","catalase activity [GO:0004096]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; hydrogen peroxide catabolic process [GO:0042744]; response to oxidative stress [GO:0006979]",NA
"45","B1MBD0","catalase activity [GO:0004096]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; hydrogen peroxide catabolic process [GO:0042744]; response to oxidative stress [GO:0006979]",NA
"46","B1MBD0","catalase activity [GO:0004096]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; hydrogen peroxide catabolic process [GO:0042744]; response to oxidative stress [GO:0006979]",NA
"47","B1MKG1","cell surface [GO:0009986]; extracellular region [GO:0005576]; phosphopyruvate hydratase complex [GO:0000015]; magnesium ion binding [GO:0000287]; phosphopyruvate hydratase activity [GO:0004634]; glycolytic process [GO:0006096]",NA
"48","B1MIT2","coenzyme F420 binding [GO:0070967]; glucose-6-phosphate dehydrogenase (coenzyme F420) activity [GO:0052749]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]; carbohydrate metabolic process [GO:0005975]",NA
"49","B1MHQ0","acetylglucosaminyltransferase activity [GO:0008375]; D-inositol-3-phosphate glycosyltransferase activity [GO:0102710]; magnesium ion binding [GO:0000287]; mycothiol biosynthetic process [GO:0010125]",NA
"50","B1MDF1","cytoplasm [GO:0005737]; translation elongation factor activity [GO:0003746]",NA
"51","B1MCB9","methionyl-tRNA formyltransferase activity [GO:0004479]",NA
"52","B1MHR6","plasma membrane [GO:0005886]",NA
"53","B1MHC3","demethylmenaquinone methyltransferase activity [GO:0043770]; S-adenosylmethionine:2-demethylmenaquinol methyltransferase activity [GO:0102094]; S-adenosylmethionine:2-demethylmenaquinol-7 methyltransferase activity [GO:0102955]; S-adenosylmethionine:2-demethylquinol-8 methyltransferase activity [GO:0102027]; menaquinone biosynthetic process [GO:0009234]; methylation [GO:0032259]",NA
"54","B1MKN0","cytoplasm [GO:0005737]; ATP binding [GO:0005524]; pantothenate kinase activity [GO:0004594]; coenzyme A biosynthetic process [GO:0015937]",NA
"55","B1MLW0","plasma membrane [GO:0005886]; proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261]; ATP binding [GO:0005524]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]",NA
"56","B1MKJ7","DNA binding [GO:0003677]; RNA polymerase binding [GO:0070063]; regulation of DNA-templated transcription, elongation [GO:0032784]",NA
"57","B1MN34","cytoplasm [GO:0005737]; 4 iron, 4 sulfur cluster binding [GO:0051539]; adenylyl-sulfate reductase (thioredoxin) activity [GO:0043866]; metal ion binding [GO:0046872]; phosphoadenylyl-sulfate reductase (thioredoxin) activity [GO:0004604]; cysteine biosynthetic process [GO:0019344]; sulfate assimilation, phosphoadenylyl sulfate reduction by phosphoadenylyl-sulfate reductase (thioredoxin) [GO:0019379]",NA
"58","B1MIM7","cytoplasm [GO:0005737]; D-aminoacyl-tRNA deacylase activity [GO:0051499]; Gly-tRNA(Ala) hydrolase activity [GO:0106026]; Ser(Gly)-tRNA(Ala) hydrolase activity [GO:0043908]; tRNA binding [GO:0000049]; D-amino acid catabolic process [GO:0019478]",NA
"59","B1MC66","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; protoheme IX farnesyltransferase activity [GO:0008495]; heme O biosynthetic process [GO:0048034]",NA
"60","B1MKD7","cytoplasm [GO:0005737]; 3-oxoacyl-[acyl-carrier-protein] synthase activity [GO:0004315]; beta-ketoacyl-acyl-carrier-protein synthase III activity [GO:0033818]; fatty acid biosynthetic process [GO:0006633]",NA
"61","B1MGH8","cytoplasm [GO:0005737]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation elongation factor activity [GO:0003746]",NA
"62","B1MAS5","ectoine synthase activity [GO:0033990]; ectoine biosynthetic process [GO:0019491]",NA
"63","B1MCI5","cytoplasm [GO:0005737]; adenine phosphoribosyltransferase activity [GO:0003999]; adenine salvage [GO:0006168]; AMP salvage [GO:0044209]; purine ribonucleoside salvage [GO:0006166]",NA
"64","B1MHI5","hydroxymethylbilane synthase activity [GO:0004418]; peptidyl-pyrromethane cofactor linkage [GO:0018160]; protoporphyrinogen IX biosynthetic process [GO:0006782]",NA
"65","B1MP39","cell division site [GO:0032153]; integral component of plasma membrane [GO:0005887]; cell septum assembly [GO:0090529]; FtsZ-dependent cytokinesis [GO:0043093]",NA
"66","B1MLW1","plasma membrane [GO:0005886]; proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261]; ATP binding [GO:0005524]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; plasma membrane ATP synthesis coupled proton transport [GO:0042777]",NA
"67","B1MD00","cytoplasm [GO:0005737]; diaminopimelate epimerase activity [GO:0008837]; lysine biosynthetic process via diaminopimelate [GO:0009089]",NA
"68","B1MFT1","ATP binding [GO:0005524]; glycerol kinase activity [GO:0004370]; glycerol catabolic process [GO:0019563]; glycerol metabolic process [GO:0006071]; glycerol-3-phosphate metabolic process [GO:0006072]",NA
"69","B1MPG1","cytoplasm [GO:0005737]; ATP binding [GO:0005524]; phosphoribosyl-ATP diphosphatase activity [GO:0004636]; histidine biosynthetic process [GO:0000105]",NA
"70","B1MDQ1","3-isopropylmalate dehydratase activity [GO:0003861]; 4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; leucine biosynthetic process [GO:0009098]",NA
"71","B1MMY5","cytoplasm [GO:0005737]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; magnesium ion binding [GO:0000287]; ribosome biogenesis [GO:0042254]",NA
"72","B1MLG8","4-alpha-hydroxytetrahydrobiopterin dehydratase activity [GO:0008124]; tetrahydrobiopterin biosynthetic process [GO:0006729]",NA
"73","B1MP28","cytoplasm [GO:0005737]; nucleoid [GO:0009295]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]",NA
"74","B1MPG7","plasma membrane [GO:0005886]; NAD binding [GO:0051287]; NADH dehydrogenase (quinone) activity [GO:0050136]; quinone binding [GO:0048038]",NA
"75","B1MJT9","4-hydroxy-2-oxovalerate aldolase activity [GO:0008701]; manganese ion binding [GO:0030145]; aromatic compound catabolic process [GO:0019439]",NA
"76","B1MP38","cytoplasm [GO:0005737]; ATP binding [GO:0005524]; UDP-N-acetylmuramate-L-alanine ligase activity [GO:0008763]; cell cycle [GO:0007049]; cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]",NA
"77","B1MP34","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; metal ion binding [GO:0046872]; phospho-N-acetylmuramoyl-pentapeptide-transferase activity [GO:0008963]; UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelyl-D-alanyl-D-alanine:undecaprenyl-phosphate transferase activity [GO:0051992]; cell cycle [GO:0007049]; cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]",NA
"78","B1ME21","FMN binding [GO:0010181]; cellular protein modification process [GO:0006464]",NA
"79","B1MFC0","histidinol-phosphate transaminase activity [GO:0004400]; pyridoxal phosphate binding [GO:0030170]; histidine biosynthetic process [GO:0000105]",NA
"80","B1MCK4","integral component of plasma membrane [GO:0005887]; magnesium ion binding [GO:0000287]; phosphotransferase activity, for other substituted phosphate groups [GO:0016780]; phospholipid biosynthetic process [GO:0008654]",NA
"81","B1MN38","DNA binding [GO:0003677]; negative regulation of transcription, DNA-templated [GO:0045892]",NA
"82","B1MCE2","cytoplasm [GO:0005737]; methyltransferase activity [GO:0008168]; methylation [GO:0032259]",NA
"83","B1MCE5","cytoplasm [GO:0005737]; translation elongation factor activity [GO:0003746]",NA
"84","B1MCD9","amino acid binding [GO:0016597]; aspartate carbamoyltransferase activity [GO:0004070]; 'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]; 'de novo' UMP biosynthetic process [GO:0044205]; cellular amino acid metabolic process [GO:0006520]",NA
"85","B1MD62","cytoplasm [GO:0005737]; magnesium ion binding [GO:0000287]; polyribonucleotide nucleotidyltransferase activity [GO:0004654]; RNA binding [GO:0003723]; mRNA catabolic process [GO:0006402]; RNA processing [GO:0006396]",NA
"86","B1MG81","ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]",NA
"87","B1MH85","large ribosomal subunit [GO:0015934]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049]; regulation of translation [GO:0006417]; translation [GO:0006412]",NA
"88","B1MCZ5","DNA binding [GO:0003677]; serine-type endopeptidase activity [GO:0004252]; DNA repair [GO:0006281]; DNA replication [GO:0006260]; negative regulation of transcription, DNA-templated [GO:0045892]; SOS response [GO:0009432]",NA
"89","B1MPE6","ATP binding [GO:0005524]; cysteine-glucosaminylinositol ligase activity [GO:0035446]; zinc ion binding [GO:0008270]; mycothiol biosynthetic process [GO:0010125]",NA
"90","B1MAI3","cytoplasm [GO:0005737]; proteasome core complex, alpha-subunit complex [GO:0019773]; threonine-type endopeptidase activity [GO:0004298]; modification-dependent protein catabolic process [GO:0019941]; proteasomal protein catabolic process [GO:0010498]",NA
"91","B1MHW4","ATP binding [GO:0005524]; phosphoribosylaminoimidazolesuccinocarboxamide synthase activity [GO:0004639]; 'de novo' IMP biosynthetic process [GO:0006189]",NA
"92","B1MAY2","ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]",NA
"93","B1MGA3","ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]",NA
"94","B1MMY4","ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]",NA
"95","B1MJK9","large ribosomal subunit [GO:0015934]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]",NA
"96","B1MDW3","cytoplasm [GO:0005737]; ATP binding [GO:0005524]; sulfurtransferase activity [GO:0016783]; tRNA binding [GO:0000049]; tRNA modification [GO:0006400]",NA
"97","B1MLZ4","dITP diphosphatase activity [GO:0035870]; ITP diphosphatase activity [GO:0036220]; metal ion binding [GO:0046872]; nucleoside-triphosphatase activity [GO:0017111]; nucleotide binding [GO:0000166]; XTP diphosphatase activity [GO:0036222]; nucleotide metabolic process [GO:0009117]; purine nucleoside triphosphate catabolic process [GO:0009146]",NA
"98","B1MDI1","ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]",NA
"99","B1MCJ8","glutaminase activity [GO:0004359]; pyridoxal 5'-phosphate synthase (glutamine hydrolysing) activity [GO:0036381]; glutamine catabolic process [GO:0006543]; pyridoxal phosphate biosynthetic process [GO:0042823]",NA
"100","B1MH53","plasma membrane [GO:0005886]; phosphatidylserine decarboxylase activity [GO:0004609]; phosphatidylethanolamine biosynthetic process [GO:0006646]",NA
"101","B1MG98","ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]",NA
"102","B1MMY3","ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]",NA
"103","B1MLU2","cytoplasm [GO:0005737]; arginine-tRNA ligase activity [GO:0004814]; ATP binding [GO:0005524]; arginyl-tRNA aminoacylation [GO:0006420]",NA
"104","B1MAF7","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; quinone binding [GO:0048038]; ATP synthesis coupled electron transport [GO:0042773]",NA
"105","B1MGE2","ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]",NA
"106","B1MDI4","cytoplasm [GO:0005737]; ribosome [GO:0005840]; ribosome binding [GO:0043022]; ribosomal small subunit biogenesis [GO:0042274]; rRNA processing [GO:0006364]",NA
"107","B1MH69","ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]",NA
"108","B1MGD5","ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049]; translation [GO:0006412]",NA
"109","B1MPG6","plasma membrane [GO:0005886]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; quinone binding [GO:0048038]",NA
"110","B1MDQ5","cytoplasm [GO:0005737]; ATP binding [GO:0005524]; glutamate-tRNA ligase activity [GO:0004818]; tRNA binding [GO:0000049]; zinc ion binding [GO:0008270]; glutamyl-tRNA aminoacylation [GO:0006424]",NA
"111","B1MHK0","metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]; deoxyribonucleotide biosynthetic process [GO:0009263]",NA
"112","B1MD92","cytoplasm [GO:0005737]; ribosomal small subunit biogenesis [GO:0042274]",NA
"113","B1MGD6","ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]",NA
"114","B1MD05","cytoplasm [GO:0005737]; 4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; methylthiotransferase activity [GO:0035596]; tRNA modification [GO:0006400]",NA
"115","B1MPH4","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; NADH dehydrogenase (quinone) activity [GO:0050136]; quinone binding [GO:0048038]; ATP synthesis coupled electron transport [GO:0042773]",NA
"116","B1MH86","ribosome [GO:0005840]; large ribosomal subunit rRNA binding [GO:0070180]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]",NA
"117","B1MN96","ribonuclease P activity [GO:0004526]; tRNA binding [GO:0000049]; tRNA 5'-leader removal [GO:0001682]",NA
"118","B1MDE3","cytoplasm [GO:0005737]; translational termination [GO:0006415]",NA
"119","B1MGE6","small ribosomal subunit [GO:0015935]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]",NA
"120","B1MGC7","ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]",NA
"121","B1ME26","cytoplasm [GO:0005737]; ATP binding [GO:0005524]; glutaminase activity [GO:0004359]; metal ion binding [GO:0046872]; NAD+ synthase (glutamine-hydrolyzing) activity [GO:0003952]; NAD+ synthase activity [GO:0008795]; NAD biosynthetic process [GO:0009435]",NA
"122","B1MD16","cytoplasm [GO:0005737]; regulation of DNA repair [GO:0006282]",NA
"123","B1MDI6","ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]",NA
"124","B1MGC4","large ribosomal subunit [GO:0015934]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]",NA
"125","B1MAI2","cytoplasm [GO:0005737]; proteasome core complex, beta-subunit complex [GO:0019774]; threonine-type endopeptidase activity [GO:0004298]; modification-dependent protein catabolic process [GO:0019941]; proteasomal protein catabolic process [GO:0010498]",NA
"126","B1MLV0","ribosome [GO:0005840]; metal ion binding [GO:0046872]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]",NA
"127","B1MGH9","small ribosomal subunit [GO:0015935]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049]; translation [GO:0006412]",NA
"128","B1MCA3","riboflavin synthase complex [GO:0009349]; 6,7-dimethyl-8-ribityllumazine synthase activity [GO:0000906]; riboflavin biosynthetic process [GO:0009231]",NA
"129","B1MGC5","small ribosomal subunit [GO:0015935]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]",NA
"130","B1MCH3","cytoplasm [GO:0005737]; aspartate-tRNA ligase activity [GO:0004815]; aspartate-tRNA(Asn) ligase activity [GO:0050560]; ATP binding [GO:0005524]; nucleic acid binding [GO:0003676]; aspartyl-tRNA aminoacylation [GO:0006422]",NA
"131","B1MLH7","N-acetylglucosaminylinositol deacetylase activity [GO:0035595]; zinc ion binding [GO:0008270]; mycothiol biosynthetic process [GO:0010125]",NA
"132","B1MAJ3","ATP binding [GO:0005524]; ligase activity, forming carbon-nitrogen bonds [GO:0016879]; magnesium ion binding [GO:0000287]; ubiquitin-like protein transferase activity [GO:0019787]; modification-dependent protein catabolic process [GO:0019941]; proteasomal protein catabolic process [GO:0010498]; protein pupylation [GO:0070490]",NA
"133","B1MP43","cytoplasm [GO:0005737]; division septum assembly [GO:0000917]; FtsZ-dependent cytokinesis [GO:0043093]",NA
"134","B1MD72","RNA binding [GO:0003723]; tRNA pseudouridine synthase activity [GO:0106029]; tRNA pseudouridine synthesis [GO:0031119]",NA
"135","B1MM05","cytoplasm [GO:0005737]; FAD binding [GO:0071949]; monooxygenase activity [GO:0004497]; response to antibiotic [GO:0046677]",NA
"136","B1MGE5","large ribosomal subunit [GO:0015934]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]",NA
"137","B1MGI0","small ribosomal subunit [GO:0015935]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049]; translation [GO:0006412]",NA
"138","B1MLZ3","3'-5'-exoribonuclease activity [GO:0000175]; tRNA binding [GO:0000049]; tRNA nucleotidyltransferase activity [GO:0009022]; rRNA catabolic process [GO:0016075]; rRNA processing [GO:0006364]; tRNA processing [GO:0008033]",NA
"139","B1MDF2","small ribosomal subunit [GO:0015935]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]",NA
"140","B1MAY3","ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; ribosomal large subunit assembly [GO:0000027]; translation [GO:0006412]",NA
"141","B1MGE8","ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]",NA
"142","B1MG63","cytoplasm [GO:0005737]; iron ion binding [GO:0005506]; N(6)-L-threonylcarbamoyladenine synthase activity [GO:0061711]; tRNA threonylcarbamoyladenosine modification [GO:0002949]",NA
"143","B1MCZ3","ATP binding [GO:0005524]; DNA binding [GO:0003677]; zinc ion binding [GO:0008270]; negative regulation of transcription, DNA-templated [GO:0045892]",NA
"144","B1MKD8","cytoplasm [GO:0005737]; aminoacyl-tRNA hydrolase activity [GO:0004045]; translation [GO:0006412]",NA
"145","B1MCK6","cytoplasm [GO:0005737]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; threonine-tRNA ligase activity [GO:0004829]; tRNA binding [GO:0000049]; threonyl-tRNA aminoacylation [GO:0006435]",NA
"146","B1MEU3","cytoplasm [GO:0005737]; RNA binding [GO:0003723]; trans-translation [GO:0070929]",NA
"147","B1MGE3","ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049]; translation [GO:0006412]",NA
"148","B1MFN2","ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]",NA
"149","B1MJJ0","ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; succinate-CoA ligase (ADP-forming) activity [GO:0004775]; tricarboxylic acid cycle [GO:0006099]",NA
"150","B1MB85","cytoplasm [GO:0005737]; nickel cation binding [GO:0016151]; urease activity [GO:0009039]; urea catabolic process [GO:0043419]",NA
"151","B1MDH6","cytoplasm [GO:0005737]; ATP binding [GO:0005524]; DNA replication origin binding [GO:0003688]; DNA replication initiation [GO:0006270]; regulation of DNA replication [GO:0006275]",NA
