"","Gene_Locus_ID","Gene_Symbol","Gene_Function","KEGG_Pathway"
"16","G655_00185","","(GenBank) tryptophan synthase subunit beta","Glycine, serine and threonine metabolism, Phenylalanine, tyrosine and tryptophan biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of amino acids"
"17","G655_00270","","(GenBank) phenazine-modifying enzyme","Alanine, aspartate and glutamate metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of amino acids"
"18","G655_00335","","(GenBank) phosphatase","Glyoxylate and dicarboxylate metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
"19","G655_00380","","(GenBank) serine/threonine protein kinase PpkA","Biofilm formation - Pseudomonas aeruginosa, Bacterial secretion system"
"20","G655_00385","","(GenBank) putative phosphoprotein phosphatase","Biofilm formation - Pseudomonas aeruginosa, Bacterial secretion system"
"21","G655_00390","","(GenBank) type VI secretion-associated protein TagF","Biofilm formation - Pseudomonas aeruginosa"
"22","G655_00395","","(GenBank) hypothetical protein","Biofilm formation - Pseudomonas aeruginosa, Bacterial secretion system"
"23","G655_00400","","(GenBank) hypothetical protein","Bacterial secretion system"
"24","G655_00405","","(GenBank) hypothetical protein","Biofilm formation - Pseudomonas aeruginosa"
"25","G655_00410","","(GenBank) lipoprotein","Bacterial secretion system"
"26","G655_00415","","(GenBank) Fha1","Biofilm formation - Pseudomonas aeruginosa, Bacterial secretion system"
"27","G655_00420","","(GenBank) hypothetical protein","Biofilm formation - Pseudomonas aeruginosa"
"28","G655_00425","","(GenBank) hypothetical protein","Biofilm formation - Pseudomonas aeruginosa"
"29","G655_00430","","(GenBank) hypothetical protein","Biofilm formation - Pseudomonas aeruginosa"
"30","G655_00435","","(GenBank) hypothetical protein","Biofilm formation - Pseudomonas aeruginosa, Bacterial secretion system"
"31","G655_00455","","(GenBank) hypothetical protein","Biofilm formation - Pseudomonas aeruginosa"
"32","G655_00460","","(GenBank) ClpA/B-type chaperone","Biofilm formation - Pseudomonas aeruginosa, Bacterial secretion system"
"33","G655_00465","","(GenBank) VgrG1","Bacterial secretion system"
"34","G655_00490","","(GenBank) hypothetical protein","Bacterial secretion system"
"35","G655_00505","","(GenBank) 3-oxoacyl-(acyl carrier protein) synthase","Fatty acid biosynthesis, Biotin metabolism, Metabolic pathways, Fatty acid metabolism, Biosynthesis of cofactors"
"36","G655_00525","","(GenBank) carbonic anhydrase","Nitrogen metabolism, Metabolic pathways"
"37","G655_00535","","(GenBank) cytochrome c oxidase subunit II","Oxidative phosphorylation, Metabolic pathways"
"38","G655_00540","","(GenBank) cytochrome c oxidase subunit I","Oxidative phosphorylation, Metabolic pathways"
"39","G655_00545","","(GenBank) cytochrome C oxidase assembly protein","Oxidative phosphorylation, Metabolic pathways"
"40","G655_00550","","(GenBank) cytochrome c oxidase subunit III","Oxidative phosphorylation, Metabolic pathways"
"41","G655_00570","","(GenBank) hypothetical protein","Oxidative phosphorylation, Porphyrin metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of cofactors, Two-component system"
"42","G655_00575","","(GenBank) protoheme IX farnesyltransferase","Oxidative phosphorylation, Porphyrin metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of cofactors"
"43","G655_00605","","(GenBank) C4-dicarboxylate transporter DctA","Two-component system"
"44","G655_00660","","(GenBank) methylmalonate-semialdehyde dehydrogenase","Valine, leucine and isoleucine degradation, beta-Alanine metabolism, Inositol phosphate metabolism, Propanoate metabolism, Metabolic pathways, Carbon metabolism"
"45","G655_00670","","(GenBank) beta alanine--pyruvate transaminase","Valine, leucine and isoleucine degradation, beta-Alanine metabolism, Propanoate metabolism, Metabolic pathways"
"46","G655_00680","","(GenBank) guanine deaminase","Purine metabolism, Metabolic pathways, Nucleotide metabolism"
"47","G655_00685","","(GenBank) ABC transporter ATP-binding protein","ABC transporters"
"48","G655_00690","","(GenBank) ABC transporter permease","ABC transporters"
"49","G655_00695","","(GenBank) ABC transporter permease","ABC transporters"
"50","G655_00710","","(GenBank) hypothetical protein","Oxidative phosphorylation, RNA degradation"
"51","G655_00740","","(GenBank) putative basic membrane protein (bmp)","ABC transporters"
"52","G655_00750","","(GenBank) adenosine deaminase","Purine metabolism, Metabolic pathways, Nucleotide metabolism"
"53","G655_00760","","(GenBank) putative transmembrane sensor","Two-component system"
"54","G655_00780","","(GenBank) protocatechuate 3,4-dioxygenase subunit beta","Benzoate degradation, Metabolic pathways, Microbial metabolism in diverse environments, Degradation of aromatic compounds"
"55","G655_00785","","(GenBank) protocatechuate 3,4-dioxygenase subunit alpha","Benzoate degradation, Metabolic pathways, Microbial metabolism in diverse environments, Degradation of aromatic compounds"
"56","G655_00830","","(GenBank) putative gamma-glutamyltranspeptidase","Taurine and hypotaurine metabolism, Cyanoamino acid metabolism, Glutathione metabolism, Metabolic pathways"
"57","G655_00855","","(GenBank) hypothetical protein","Biofilm formation - Pseudomonas aeruginosa"
"58","G655_00875","","(GenBank) chemotaxis-specific methylesterase","Two-component system, Bacterial chemotaxis"
"59","G655_00880","","(GenBank) chemoreceptor glutamine deamidase CheD","Bacterial chemotaxis"
"60","G655_00885","","(GenBank) putative chemotaxis protein methyltransferase","Two-component system, Bacterial chemotaxis"
"61","G655_00890","","(GenBank) putative chemotaxis transducer","Two-component system, Bacterial chemotaxis"
"62","G655_00895","","(GenBank) purine-binding chemotaxis protein","Two-component system, Bacterial chemotaxis"
"63","G655_00900","","(GenBank) putative two-component sensor","Two-component system, Bacterial chemotaxis"
"64","G655_00905","","(GenBank) two-component response regulator","Two-component system, Bacterial chemotaxis"
"65","G655_00910","","(GenBank) putative chemotaxis transducer","Two-component system, Bacterial chemotaxis"
"66","G655_00920","fabG","(GenBank) 3-ketoacyl-(acyl-carrier-protein) reductase","Fatty acid biosynthesis, Biotin metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Fatty acid metabolism, Biosynthesis of cofactors"
"67","G655_00930","","(GenBank) ABC transporter ATP-binding protein","Sulfur metabolism, ABC transporters"
"68","G655_00935","","(GenBank) ABC transporter permease","Sulfur metabolism, ABC transporters"
"69","G655_00945","","(GenBank) putative binding protein component of ABC transporter","Sulfur metabolism, ABC transporters"
"70","G655_00950","","(GenBank) porin","beta-Lactam resistance, Two-component system"
"71","G655_00955","","(GenBank) putative acid phosphatase","Riboflavin metabolism, Metabolic pathways, Two-component system"
"72","G655_00980","","(GenBank) NAD(P) transhydrogenase subunit alpha","Nicotinate and nicotinamide metabolism, Metabolic pathways"
"73","G655_00985","","(GenBank) NAD(P) transhydrogenase subunit alpha","Nicotinate and nicotinamide metabolism, Metabolic pathways"
"74","G655_00990","","(GenBank) NAD(P)(+) transhydrogenase","Nicotinate and nicotinamide metabolism, Metabolic pathways"
"75","G655_01080","","(GenBank) putative aldehyde dehydrogenase","Arginine and proline metabolism, Metabolic pathways"
"76","G655_01090","","(GenBank) aminotransferase","Arginine and proline metabolism, Metabolic pathways"
"77","G655_01095","","(GenBank) hypothetical protein","Quorum sensing"
"78","G655_01100","","(GenBank) dihydrodipicolinate synthetase","Monobactam biosynthesis, Lysine biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites, Microbial metabolism in diverse environments, Biosynthesis of amino acids"
"79","G655_01105","","(GenBank) class II aldolase/adducin domain protein","Pentose and glucuronate interconversions, Fructose and mannose metabolism, Metabolic pathways, Microbial metabolism in diverse environments"
"80","G655_01115","","(GenBank) putative CoA transferase, subunit A","Styrene degradation, Butanoate metabolism, Metabolic pathways, Microbial metabolism in diverse environments"
"81","G655_01120","","(GenBank) CoA transferase, subunit B","Styrene degradation, Butanoate metabolism, Metabolic pathways, Microbial metabolism in diverse environments"
"82","G655_01125","","(GenBank) beta-ketoadipyl CoA thiolase","Benzoate degradation, Microbial metabolism in diverse environments"
"83","G655_01135","","(GenBank) 3-carboxy-cis,cis-muconate cycloisomerase","Benzoate degradation, Metabolic pathways, Microbial metabolism in diverse environments, Degradation of aromatic compounds"
"84","G655_01140","","(GenBank) beta-ketoadipate enol-lactone hydrolase","Benzoate degradation, Metabolic pathways, Microbial metabolism in diverse environments, Degradation of aromatic compounds"
"85","G655_01145","","(GenBank) 4-carboxymuconolactone decarboxylase","Benzoate degradation, Metabolic pathways, Microbial metabolism in diverse environments, Degradation of aromatic compounds"
"86","G655_01200","","(GenBank) 4-hydroxyphenylpyruvate dioxygenase","Ubiquinone and other terpenoid-quinone biosynthesis, Tyrosine metabolism, Phenylalanine metabolism, Metabolic pathways, Biosynthesis of cofactors"
"87","G655_01210","","(GenBank) shikimate 5-dehydrogenase","Phenylalanine, tyrosine and tryptophan biosynthesis, Biosynthesis of various plant secondary metabolites, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of amino acids"
"88","G655_01215","","(GenBank) 3-dehydroquinate dehydratase","Phenylalanine, tyrosine and tryptophan biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of amino acids"
"89","G655_01225","","(GenBank) 4-hydroxybenzoate 3-monooxygenase","Benzoate degradation, Metabolic pathways, Microbial metabolism in diverse environments, Degradation of aromatic compounds"
"90","G655_01280","","(GenBank) DNA-cytosine methyltransferase","Cysteine and methionine metabolism, Metabolic pathways"
"91","G655_t29272","","(GenBank) tRNA-Arg","Aminoacyl-tRNA biosynthesis"
"92","G655_01335","gabD","(GenBank) succinate-semialdehyde dehydrogenase I","Alanine, aspartate and glutamate metabolism, Lysine degradation, Tyrosine metabolism, Butanoate metabolism, Nicotinate and nicotinamide metabolism, Metabolic pathways, Microbial metabolism in diverse environments"
"93","G655_01340","","(GenBank) 4-aminobutyrate aminotransferase","Alanine, aspartate and glutamate metabolism, Lysine degradation, Butanoate metabolism, Metabolic pathways, Microbial metabolism in diverse environments"
"94","G655_01385","","(GenBank) transcriptional regulator","Two-component system, Quorum sensing, Biofilm formation - Pseudomonas aeruginosa"
"95","G655_01410","","(GenBank) sulfate transport protein","Sulfur metabolism, ABC transporters"
"96","G655_01415","","(GenBank) sulfate ABC transporter permease","Sulfur metabolism, ABC transporters"
"97","G655_01420","","(GenBank) sulfate transport protein CysT","Sulfur metabolism, ABC transporters"
"98","G655_01425","","(GenBank) sulfate-binding protein","Sulfur metabolism, ABC transporters"
"99","G655_01440","","(GenBank) putative fatty acid desaturase","Biosynthesis of unsaturated fatty acids, Metabolic pathways, Fatty acid metabolism"
"100","G655_01470","","(GenBank) agmatine deiminase","Arginine and proline metabolism, Metabolic pathways"
"101","G655_01475","","(GenBank) N-carbamoylputrescine amidohydrolase","Arginine and proline metabolism, Metabolic pathways"
"102","G655_01485","","(GenBank) periplasmic polyamine binding protein","ABC transporters"
"103","G655_01490","","(GenBank) glutamine synthetase","Arginine biosynthesis, Alanine, aspartate and glutamate metabolism, Glyoxylate and dicarboxylate metabolism, Nitrogen metabolism, Metabolic pathways, Microbial metabolism in diverse environments, Biosynthesis of amino acids, Two-component system"
"104","G655_01500","","(GenBank) glutamine synthetase","Arginine biosynthesis, Alanine, aspartate and glutamate metabolism, Glyoxylate and dicarboxylate metabolism, Nitrogen metabolism, Metabolic pathways, Microbial metabolism in diverse environments, Biosynthesis of amino acids, Two-component system"
"105","G655_01505","","(GenBank) aminotransferase","Arginine and proline metabolism, Metabolic pathways"
"106","G655_01510","","(GenBank) polyamine transport protein","ABC transporters"
"107","G655_01515","","(GenBank) polyamine transport protein","ABC transporters"
"108","G655_01520","","(GenBank) spermidine/putrescine ABC transporter ATPase","ABC transporters"
"109","G655_01525","","(GenBank) polyamine transport protein PotH","ABC transporters"
"110","G655_01530","","(GenBank) polyamine transport protein PotI","ABC transporters"
"111","G655_01535","","(GenBank) putative penicillin amidase","Biosynthesis of secondary metabolites"
"112","G655_01580","","(GenBank) ABC transporter permease","ABC transporters"
"113","G655_01585","","(GenBank) putative binding protein component of ABC transporter","ABC transporters, Flagellar assembly"
"114","G655_01595","","(GenBank) D-3-phosphoglycerate dehydrogenase","Glycine, serine and threonine metabolism, Cysteine and methionine metabolism, Methane metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Microbial metabolism in diverse environments, Carbon metabolism, Biosynthesis of amino acids"
"115","G655_01630","","(GenBank) binding protein component of ABC transporter","ABC transporters"
"116","G655_01635","","(GenBank) ABC transporter permease","ABC transporters"
"117","G655_01640","","(GenBank) ABC transporter permease","ABC transporters"
"118","G655_01645","","(GenBank) ABC transporter ATP-binding protein","ABC transporters"
"119","G655_01670","","(GenBank) ribose-5-phosphate isomerase A","Pentose phosphate pathway, Metabolic pathways, Biosynthesis of secondary metabolites, Microbial metabolism in diverse environments, Carbon metabolism, Biosynthesis of amino acids"
"120","G655_01675","","(GenBank) threonine dehydratase","Glycine, serine and threonine metabolism, Valine, leucine and isoleucine biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism, Biosynthesis of amino acids"
"121","G655_01705","","(GenBank) RNA pyrophosphohydrolase","RNA degradation"
"122","G655_01710","","(GenBank) phosphoenolpyruvate-protein phosphotransferase PtsP","Phosphotransferase system (PTS)"
"123","G655_01735","thyA","(GenBank) thymidylate synthase","Pyrimidine metabolism, One carbon pool by folate, Metabolic pathways, Nucleotide metabolism"
"124","G655_01760","","(GenBank) glycerophosphoryl diester phosphodiesterase, periplasmic","Glycerophospholipid metabolism"
"125","G655_01775","","(GenBank) dihydrofolate reductase","One carbon pool by folate, Folate biosynthesis, Metabolic pathways, Biosynthesis of cofactors"
"126","G655_01790","","(GenBank) dihydroxy-acid dehydratase","Valine, leucine and isoleucine biosynthesis, Pantothenate and CoA biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites, 2-Oxocarboxylic acid metabolism, Biosynthesis of amino acids"
"127","G655_01810","","(GenBank) formamidopyrimidine/5-formyluracil/5-hydroxymethyluracil DNA glycosylase","Base excision repair"
"128","G655_01835","","(GenBank) gamma-glutamyltranspeptidase","Taurine and hypotaurine metabolism, Cyanoamino acid metabolism, Glutathione metabolism, Metabolic pathways"
"129","G655_01845","coaD","(GenBank) phosphopantetheine adenylyltransferase","Pantothenate and CoA biosynthesis, Metabolic pathways, Biosynthesis of cofactors"
"130","G655_01900","","(GenBank) signal recognition particle-docking protein FtsY","Quorum sensing, Protein export, Bacterial secretion system"
"131","G655_01905","","(GenBank) cell division ATP-binding protein FtsE","ABC transporters"
"132","G655_01910","","(GenBank) cell division protein FtsX","ABC transporters"
"133","G655_01925","mtgA","(GenBank) monofunctional biosynthetic peptidoglycan transglycosylase","Peptidoglycan biosynthesis, Metabolic pathways"
"134","G655_01935","","(GenBank) sulfur carrier protein ThiS","Sulfur relay system"
"135","G655_01940","thiG","(GenBank) thiazole synthase","Thiamine metabolism, Metabolic pathways, Biosynthesis of cofactors"
"136","G655_01970","","(GenBank) dITP/XTP pyrophosphatase","Purine metabolism, Metabolic pathways, Nucleotide metabolism"
"137","G655_01985","metX","(GenBank) homoserine O-acetyltransferase","Cysteine and methionine metabolism, Sulfur metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of amino acids"
"138","G655_02005","","(GenBank) pyrroline-5-carboxylate reductase","Arginine and proline metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of amino acids"
"139","G655_02035","","(GenBank) cystathionine beta-synthase","Glycine, serine and threonine metabolism, Cysteine and methionine metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of amino acids"
"140","G655_02040","","(GenBank) cystathionine gamma-lyase","Glycine, serine and threonine metabolism, Cysteine and methionine metabolism, Selenocompound metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of amino acids"
"141","G655_02045","pyrC","(GenBank) dihydroorotase","Pyrimidine metabolism, Metabolic pathways, Biosynthesis of cofactors"
"142","G655_02050","pyrB","(GenBank) aspartate carbamoyltransferase catalytic subunit","Pyrimidine metabolism, Alanine, aspartate and glutamate metabolism, Metabolic pathways, Biosynthesis of cofactors"
"143","G655_02055","","(GenBank) bifunctional pyrimidine regulatory protein PyrR uracil phosphoribosyltransferase","Pyrimidine metabolism, Metabolic pathways, Nucleotide metabolism"
"144","G655_02075","","(GenBank) glutathione synthetase","Cysteine and methionine metabolism, Glutathione metabolism, Metabolic pathways, Biosynthesis of cofactors"
"145","G655_02080","","(GenBank) twitching motility protein PilG","Two-component system, Biofilm formation - Pseudomonas aeruginosa"
"146","G655_02085","","(GenBank) twitching motility protein PilH","Two-component system, Biofilm formation - Pseudomonas aeruginosa"
"147","G655_02090","","(GenBank) twitching motility protein PilI","Two-component system, Biofilm formation - Pseudomonas aeruginosa"
"148","G655_02095","","(GenBank) twitching motility protein","Two-component system, Biofilm formation - Pseudomonas aeruginosa"
"149","G655_02100","","(GenBank) methyltransferase PilK","Two-component system"
"150","G655_02105","","(GenBank) ChpA","Two-component system, Biofilm formation - Pseudomonas aeruginosa"
"151","G655_02110","","(GenBank) methylesterase","Two-component system"
"152","G655_02115","","(GenBank) putative chemotaxis protein","Two-component system, Biofilm formation - Pseudomonas aeruginosa"
"153","G655_02140","","(GenBank) adenosylmethionine--8-amino-7-oxononanoate transaminase","Biotin metabolism, Metabolic pathways, Biosynthesis of cofactors"
"154","G655_02145","","(GenBank) amine oxidase","Glycine, serine and threonine metabolism, Arginine and proline metabolism, Histidine metabolism, Tyrosine metabolism, Phenylalanine metabolism, Tryptophan metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
"155","G655_02160","","(GenBank) multidrug resistance operon repressor MexR","beta-Lactam resistance"
"156","G655_02165","","(GenBank) RND multidrug efflux membrane fusion protein","beta-Lactam resistance, Cationic antimicrobial peptide (CAMP) resistance"
"157","G655_02170","","(GenBank) RND multidrug efflux transporter MexB","beta-Lactam resistance, Cationic antimicrobial peptide (CAMP) resistance"
"158","G655_02175","","(GenBank) major intrinsic multiple antibiotic resistance efflux outer membrane protein","beta-Lactam resistance, Quorum sensing"
"159","G655_02180","","(GenBank) ATP-dependent RNA helicase","RNA degradation"
"160","G655_02190","","(GenBank) 5,10-methylenetetrahydrofolate reductase","One carbon pool by folate, Metabolic pathways, Microbial metabolism in diverse environments, Carbon metabolism"
"161","G655_02200","","(GenBank) S-adenosyl-L-homocysteine hydrolase","Cysteine and methionine metabolism, Metabolic pathways"
"162","G655_02225","","(GenBank) cytosine deaminase","Pyrimidine metabolism, Arginine and proline metabolism, Metabolic pathways, Nucleotide metabolism"
"163","G655_02235","","(GenBank) dihydropyrimidine dehydrogenase subunit B","Pyrimidine metabolism, beta-Alanine metabolism, Pantothenate and CoA biosynthesis, Metabolic pathways"
"164","G655_02240","","(GenBank) dihydropyrimidine dehydrogenase subunit A","Pyrimidine metabolism, beta-Alanine metabolism, Pantothenate and CoA biosynthesis, Metabolic pathways"
"165","G655_02245","","(GenBank) phenylhydantoinase","Pyrimidine metabolism, beta-Alanine metabolism, Pantothenate and CoA biosynthesis, Metabolic pathways"
"166","G655_02255","","(GenBank) allantoate amidohydrolase","Pyrimidine metabolism, Metabolic pathways"
"167","G655_02265","","(GenBank) glutaryl-CoA dehydrogenase","Fatty acid degradation, Lysine degradation, Benzoate degradation, Tryptophan metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Microbial metabolism in diverse environments"
"168","G655_02345","","(GenBank) DNA-binding response regulator CreB","Two-component system"
"169","G655_02350","","(GenBank) sensory histidine kinase CreC","Two-component system"
"170","G655_02390","","(GenBank) putative transmembrane sensor","Two-component system"
"171","G655_02395","","(GenBank) RNA polymerase sigma factor","Two-component system"
"172","G655_02400","","(GenBank) glutathione S-transferase","Glutathione metabolism, Metabolic pathways"
"173","G655_02435","","(GenBank) putative hydrolase","Benzoate degradation, Metabolic pathways, Microbial metabolism in diverse environments, Degradation of aromatic compounds"
"174","G655_02445","","(GenBank) malate synthase G","Pyruvate metabolism, Glyoxylate and dicarboxylate metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Microbial metabolism in diverse environments, Carbon metabolism"
"175","G655_02495","","(GenBank) hypothetical protein","Glutathione metabolism, Metabolic pathways"
"176","G655_02500","","(GenBank) hypothetical protein","Fatty acid biosynthesis, Pyruvate metabolism, Propanoate metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Microbial metabolism in diverse environments, Carbon metabolism, Fatty acid metabolism"
"177","G655_02505","","(GenBank) acetyl-CoA carboxylase biotin carboxylase subunit","Fatty acid biosynthesis, Pyruvate metabolism, Propanoate metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Microbial metabolism in diverse environments, Carbon metabolism, Fatty acid metabolism"
"178","G655_02510","","(GenBank) hypothetical protein","Arginine biosynthesis, Atrazine degradation, Metabolic pathways"
"179","G655_02525","","(GenBank) biotin synthase","Biotin metabolism, Metabolic pathways, Biosynthesis of cofactors"
"180","G655_02530","","(GenBank) 8-amino-7-oxononanoate synthase","Biotin metabolism, Metabolic pathways, Biosynthesis of cofactors"
"181","G655_02535","","(GenBank) putative biotin biosynthesis protein","Biotin metabolism, Metabolic pathways, Biosynthesis of cofactors"
"182","G655_02540","","(GenBank) biotin biosynthesis protein BioC","Biotin metabolism, Metabolic pathways, Biosynthesis of cofactors"
"183","G655_02545","bioD","(GenBank) dithiobiotin synthetase","Biotin metabolism, Metabolic pathways, Biosynthesis of cofactors"
"184","G655_02555","","(GenBank) acyl-CoA dehydrogenase","Sulfur metabolism, Metabolic pathways"
"185","G655_02560","","(GenBank) putative acyl-CoA dehydrogenase","Sulfur metabolism, Metabolic pathways"
"186","G655_02565","","(GenBank) acyl-CoA dehydrogenase","Sulfur metabolism, Metabolic pathways"
"187","G655_02570","","(GenBank) cytochrome C","Porphyrin metabolism, Biosynthesis of secondary metabolites"
"188","G655_02575","","(GenBank) putative uroporphyrin-III c-methyltransferase","Porphyrin metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Microbial metabolism in diverse environments, Biosynthesis of cofactors"
"189","G655_02585","","(GenBank) heme d1 biosynthesis protein NirH","Porphyrin metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of cofactors"
"190","G655_02590","","(GenBank) transcriptional regulator","Porphyrin metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of cofactors"
"191","G655_02595","","(GenBank) heme d1 biosynthesis protein NirL","Porphyrin metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of cofactors"
"192","G655_02600","","(GenBank) transcriptional regulator","Porphyrin metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of cofactors"
"193","G655_02615","","(GenBank) cytochrome c-551","Oxidative phosphorylation, Metabolic pathways, Two-component system"
"194","G655_02620","","(GenBank) nitrite reductase","Nitrogen metabolism, Metabolic pathways, Microbial metabolism in diverse environments"
"195","G655_02640","","(GenBank) nitric-oxide reductase subunit C","Nitrogen metabolism, Metabolic pathways, Microbial metabolism in diverse environments"
"196","G655_02645","","(GenBank) nitric-oxide reductase subunit B","Nitrogen metabolism, Metabolic pathways, Microbial metabolism in diverse environments"
"197","G655_02685","","(GenBank) class III pyridoxal phosphate-dependent aminotransferase","Arginine biosynthesis, Lysine biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites, Microbial metabolism in diverse environments, 2-Oxocarboxylic acid metabolism, Biosynthesis of amino acids"
"198","G655_02765","","(GenBank) S-adenosylmethionine synthetase","Cysteine and methionine metabolism, Biosynthesis of various plant secondary metabolites, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of amino acids, Biosynthesis of cofactors"
"199","G655_02775","","(GenBank) transketolase","Pentose phosphate pathway, Metabolic pathways, Biosynthesis of secondary metabolites, Microbial metabolism in diverse environments, Carbon metabolism, Biosynthesis of amino acids"
"200","G655_02790","","(GenBank) D-erythrose-4-phosphate dehydrogenase","Vitamin B6 metabolism, Metabolic pathways, Biosynthesis of cofactors"
"201","G655_02795","pgk","(GenBank) phosphoglycerate kinase","Glycolysis / Gluconeogenesis, Metabolic pathways, Biosynthesis of secondary metabolites, Microbial metabolism in diverse environments, Carbon metabolism, Biosynthesis of amino acids"
"202","G655_02810","","(GenBank) fructose-1,6-bisphosphate aldolase","Glycolysis / Gluconeogenesis, Pentose phosphate pathway, Fructose and mannose metabolism, Methane metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Microbial metabolism in diverse environments, Carbon metabolism, Biosynthesis of amino acids"
"203","G655_02835","","(GenBank) metal-dependent hydrolase","Pyrimidine metabolism, Metabolic pathways, Nucleotide metabolism"
"204","G655_t29274","","(GenBank) tRNA-Met","Aminoacyl-tRNA biosynthesis"
"205","G655_02915","","(GenBank) RNA polymerase sigma factor RpoD","Flagellar assembly"
"206","G655_02920","dnaG","(GenBank) DNA primase","DNA replication"
"207","G655_02930","rpsU","(GenBank) 30S ribosomal protein S21","Ribosome"
"208","G655_02940","","(GenBank) glycerol-3-phosphate acyltransferase PlsY","Glycerolipid metabolism, Glycerophospholipid metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
"209","G655_02945","","(GenBank) dihydroneopterin aldolase","Folate biosynthesis, Metabolic pathways, Biosynthesis of cofactors"
"210","G655_02950","","(GenBank) 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase","Folate biosynthesis, Metabolic pathways, Biosynthesis of cofactors"
"211","G655_02980","glpE","(GenBank) thiosulfate sulfurtransferase","Sulfur metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Microbial metabolism in diverse environments"
"212","G655_02985","apaH","(GenBank) diadenosine tetraphosphatase","Purine metabolism, Metabolic pathways"
"213","G655_03000","pdxA","(GenBank) 4-hydroxythreonine-4-phosphate dehydrogenase","Vitamin B6 metabolism, Metabolic pathways, Biosynthesis of cofactors"
