"","Gene_Locus_ID","Gene_Symbol","Gene_Function","Uniprot_ID","GO_Terms","eggNOG","KEGG_Pathway"
"63","USA300HOU_0195","argB","(GenBank) acetylglutamate kinase","A8YZA3","cytoplasm [GO:0005737]; acetylglutamate kinase activity [GO:0003991]; ATP binding [GO:0005524]; arginine biosynthetic process via ornithine [GO:0042450]",NA,"Arginine biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites, 2-Oxocarboxylic acid metabolism, Biosynthesis of amino acids"
"64","USA300HOU_0196","argJ","(GenBank) glutamate N-acetyltransferase",NA,NA,NA,"Arginine biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites, 2-Oxocarboxylic acid metabolism, Biosynthesis of amino acids"
"65","USA300HOU_0197","argC","(GenBank) N-acetyl-gamma-glutamyl-phosphate reductase",NA,NA,NA,"Arginine biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites, 2-Oxocarboxylic acid metabolism, Biosynthesis of amino acids"
"66","USA300HOU_0198","argD","(GenBank) ornithine--oxo-acid transaminase",NA,NA,NA,"Arginine and proline metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
"67","USA300HOU_0203","","(GenBank) PTS family glucose/glucoside (glc) porter component IIABC","A8Z0F5","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; glucose transmembrane transporter activity [GO:0005355]; kinase activity [GO:0016301]; protein-N(PI)-phosphohistidine-sugar phosphotransferase activity [GO:0008982]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]",NA,"Glycolysis / Gluconeogenesis, Amino sugar and nucleotide sugar metabolism, Metabolic pathways, Phosphotransferase system (PTS)"
"68","USA300HOU_0205","","(GenBank) possible sugar phosphate isomerase",NA,NA,NA,"Amino sugar and nucleotide sugar metabolism, Metabolic pathways"
"69","USA300HOU_0206","","(GenBank) possible PTS family sucrose porter component IIBC",NA,NA,NA,"Starch and sucrose metabolism, Phosphotransferase system (PTS)"
"70","USA300HOU_0212","","(GenBank) oligopeptide ABC superfamily ATP binding cassette transporter, ABC protein",NA,NA,NA,"Quorum sensing"
"71","USA300HOU_0213","","(GenBank) oligopeptide ABC superfamily ATP binding cassette transporter, membrane protein",NA,NA,NA,"Quorum sensing"
"72","USA300HOU_0214","","(GenBank) oligopeptide ABC superfamily ATP binding cassette transporter, membrane protein",NA,NA,NA,"Quorum sensing"
"73","USA300HOU_0215","rlp","(GenBank) RGD domain lipoprotein",NA,NA,NA,"Quorum sensing"
"74","USA300HOU_0216","ggt","(GenBank) T3 family gamma-glutamyltransferase",NA,NA,NA,"Taurine and hypotaurine metabolism, Cyanoamino acid metabolism, Glutathione metabolism, Metabolic pathways"
"75","USA300HOU_0218",NA,NA,"A8Z0H0","electron transfer activity [GO:0009055]; FMN binding [GO:0010181]; oxidoreductase activity, acting on NAD(P)H, NAD(P) as acceptor [GO:0016652]; oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor [GO:0016655]",NA,NA
"76","USA300HOU_0220","","(GenBank) maltose/maltodextrin ABC superfamily ATP binding cassette transporter, ABC protein",NA,NA,NA,"ABC transporters"
"77","USA300HOU_0221","","(GenBank) maltose/maltodextrin ABC superfamily ATP binding cassette transporter, binding protein",NA,NA,NA,"ABC transporters"
"78","USA300HOU_0222","","(GenBank) maltose/maltodextrin ABC superfamily ATP binding cassette transporter, membrane protein",NA,NA,NA,"ABC transporters"
"79","USA300HOU_0223","","(GenBank) maltose/maltodextrin ABC superfamily ATP binding cassette transporter, membrane protein",NA,NA,NA,"ABC transporters"
"80","USA300HOU_0229","","(GenBank) MFS family major facilitator transporter, hexose phosphate:cation symporter",NA,NA,NA,"Two-component system"
"81","USA300HOU_0230","","(GenBank) response regulator",NA,NA,NA,"Two-component system"
"82","USA300HOU_0231","","(GenBank) sensor histidine kinase",NA,NA,NA,"Two-component system"
"83","USA300HOU_0232","","(GenBank) iron (Fe3+) ABC superfamily ATP binding cassette transporter, membrane/binding protein",NA,NA,NA,"Two-component system"
"84","USA300HOU_0233","pfl","(GenBank) formate C-acetyltransferase",NA,NA,NA,"Pyruvate metabolism, Propanoate metabolism, Butanoate metabolism, Metabolic pathways, Microbial metabolism in diverse environments"
"85","USA300HOU_0236","glpQ1","(GenBank) possible glycerophosphodiester phosphodiesterase",NA,NA,NA,"Glycerophospholipid metabolism"
"86","USA300HOU_0237","","(GenBank) hypothetical protein",NA,NA,NA,"Staphylococcus aureus infection"
"87","USA300HOU_0240","","(GenBank) acetyl-CoA C-acetyltransferase",NA,NA,NA,"Fatty acid degradation, Valine, leucine and isoleucine degradation, Geraniol degradation, Benzoate degradation, alpha-Linolenic acid metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Microbial metabolism in diverse environments, Fatty acid metabolism"
"88","USA300HOU_0241","","(GenBank) 3-hydroxyacyl-CoA dehydrogenase",NA,NA,NA,"Fatty acid degradation, Benzoate degradation, Butanoate metabolism, Metabolic pathways, Microbial metabolism in diverse environments, Carbon metabolism, Fatty acid metabolism"
"89","USA300HOU_0242","","(GenBank) acyl-CoA dehydrogenase",NA,NA,NA,"Fatty acid degradation, Lysine degradation, Benzoate degradation, Tryptophan metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Microbial metabolism in diverse environments"
"90","USA300HOU_0243","","(GenBank) long-chain-fatty-acid--CoA ligase",NA,NA,NA,"Fatty acid biosynthesis, Fatty acid degradation, Metabolic pathways, Fatty acid metabolism, Quorum sensing"
"91","USA300HOU_0244","","(GenBank) 3-oxoacid CoA-transferase",NA,NA,NA,"Pyruvate metabolism, Propanoate metabolism, Styrene degradation, Metabolic pathways, Microbial metabolism in diverse environments"
"92","USA300HOU_0246","","(GenBank) ABC superfamily ATP binding cassette transporter, binding protein",NA,NA,NA,"Quorum sensing"
"93","USA300HOU_0251","ldh","(GenBank) L-lactate dehydrogenase","A8Z0K3","cytoplasm [GO:0005737]; L-lactate dehydrogenase activity [GO:0004459]; glycolytic process [GO:0006096]",NA,"Glycolysis / Gluconeogenesis, Cysteine and methionine metabolism, Pyruvate metabolism, Propanoate metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Microbial metabolism in diverse environments"
"94","USA300HOU_0252","","(GenBank) PTS family glucose/glucoside (glc) porter component IIABC",NA,NA,NA,"Glycolysis / Gluconeogenesis, Starch and sucrose metabolism, Amino sugar and nucleotide sugar metabolism, Metabolic pathways, Phosphotransferase system (PTS)"
"95","USA300HOU_0256","","(GenBank) possible PTS family porter component IIA",NA,NA,NA,"Galactose metabolism, Metabolic pathways, Phosphotransferase system (PTS)"
"96","USA300HOU_0257","","(GenBank) PTS family galactitol (gat) porter component IIB",NA,NA,NA,"Galactose metabolism, Metabolic pathways, Phosphotransferase system (PTS)"
"97","USA300HOU_0258","gatC1","(GenBank) PTS family galactitol (gat) porter component IIC",NA,NA,NA,"Galactose metabolism, Metabolic pathways, Phosphotransferase system (PTS)"
"98","USA300HOU_0259","gutB","(GenBank) L-iditol 2-dehydrogenase",NA,NA,NA,"Pentose and glucuronate interconversions, Fructose and mannose metabolism, Metabolic pathways"
"99","USA300HOU_0261","","(GenBank) zinc (Zn2+)-binding dehydrogenase",NA,NA,NA,"Pentose and glucuronate interconversions, Fructose and mannose metabolism, Metabolic pathways"
"100","USA300HOU_0262","ispD2","(GenBank) 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase",NA,NA,NA,"Pentose and glucuronate interconversions, Metabolic pathways"
"101","USA300HOU_0263","","(GenBank) alcohol dehydrogenase",NA,NA,NA,"Pentose and glucuronate interconversions, Metabolic pathways"
"102","USA300HOU_0264","tagB1","(GenBank) glycosyl/glycerophosphate transferase",NA,NA,NA,"Teichoic acid biosynthesis"
"103","USA300HOU_0265","tagF","(GenBank) CDP-glycerol glycerophosphotransferase",NA,NA,NA,"Teichoic acid biosynthesis"
"104","USA300HOU_0266","","(GenBank) 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase",NA,NA,NA,"Pentose and glucuronate interconversions, Metabolic pathways"
"105","USA300HOU_0267","","(GenBank) zinc (Zn2+)-binding dehydrogenase",NA,NA,NA,"Pentose and glucuronate interconversions, Metabolic pathways"
"106","USA300HOU_0268","tagB2","(GenBank) glycosyl/glycerophosphate transferase",NA,NA,NA,"Teichoic acid biosynthesis"
"107","USA300HOU_0269","","(GenBank) glycosyltransferase",NA,NA,NA,"Teichoic acid biosynthesis"
"108","USA300HOU_0270",NA,NA,"A8Z0M2","cytoplasm [GO:0005737]; metal ion binding [GO:0046872]; protein repair [GO:0030091]; response to nitrosative stress [GO:0051409]; response to oxidative stress [GO:0006979]",NA,NA
"109","USA300HOU_0271","lytS","(GenBank) sensor histidine kinase LytS",NA,NA,NA,"Two-component system"
"110","USA300HOU_0272","lytR","(GenBank) response regulator LytR",NA,NA,NA,"Two-component system"
"111","USA300HOU_0273","lrgA","(GenBank) murein hydrolase regulator LrgA","A8Z0M5","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; cytolysis [GO:0019835]; programmed cell death [GO:0012501]",NA,"Two-component system"
"112","USA300HOU_0274","lrgB","(GenBank) murein hydrolase regulator LrgB","A8Z0M6","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; cytolysis [GO:0019835]; programmed cell death [GO:0012501]",NA,"Two-component system"
"113","USA300HOU_0277","bglA","(GenBank) 6-phospho-beta-glucosidase",NA,NA,NA,"Glycolysis / Gluconeogenesis, Starch and sucrose metabolism"
"114","USA300HOU_0280","rbsK","(GenBank) ribokinase",NA,NA,NA,"Pentose phosphate pathway, Metabolic pathways"
"115","USA300HOU_0281","rbsD","(GenBank) ribose ABC superfamily ATP binding cassette transporter, membrane protein","A8Z0N3","cytoplasm [GO:0005737]; D-ribose pyranase activity [GO:0062193]; intramolecular lyase activity [GO:0016872]; monosaccharide binding [GO:0048029]; D-ribose catabolic process [GO:0019303]",NA,"ABC transporters"
"116","USA300HOU_0288","","(GenBank) C59 family penicillin amidase",NA,NA,NA,"Biosynthesis of secondary metabolites"
"117","USA300HOU_0331","","(GenBank) PfkB family carbohydrate kinase",NA,NA,NA,"Pyrimidine metabolism, Metabolic pathways"
"118","USA300HOU_0332","","(GenBank) hypothetical protein",NA,NA,NA,"Pyrimidine metabolism, Metabolic pathways"
"119","USA300HOU_0335","nanA","(GenBank) N-acetylneuraminate lyase","A8YZD9","cytoplasm [GO:0005737]; N-acetylneuraminate lyase activity [GO:0008747]; carbohydrate metabolic process [GO:0005975]; N-acetylneuraminate catabolic process [GO:0019262]",NA,"Amino sugar and nucleotide sugar metabolism, Metabolic pathways"
"120","USA300HOU_0338","nanE","(GenBank) N-acylglucosamine-6-phosphate 2-epimerase","A8YZE2","N-acylglucosamine-6-phosphate 2-epimerase activity [GO:0047465]; N-acylmannosamine-6-phosphate 2-epimerase activity [GO:0009385]; carbohydrate metabolic process [GO:0005975]; N-acetylmannosamine metabolic process [GO:0006051]; N-acetylneuraminate catabolic process [GO:0019262]",NA,"Amino sugar and nucleotide sugar metabolism, Metabolic pathways"
"121","USA300HOU_0340","lip1","(GenBank) triacylglycerol lipase",NA,NA,NA,"Glycerolipid metabolism, Metabolic pathways"
"122","USA300HOU_0348","lplA1","(GenBank) lipoate--protein ligase A",NA,NA,NA,"Lipoic acid metabolism, Metabolic pathways, Biosynthesis of cofactors"
"123","USA300HOU_0350","","(GenBank) PTS family porter component IIC",NA,NA,NA,"Ascorbate and aldarate metabolism, Metabolic pathways, Microbial metabolism in diverse environments, Phosphotransferase system (PTS)"
"124","USA300HOU_0351","","(GenBank) PTS family porter component IIB",NA,NA,NA,"Ascorbate and aldarate metabolism, Metabolic pathways, Microbial metabolism in diverse environments, Phosphotransferase system (PTS)"
"125","USA300HOU_0352","","(GenBank) PTS family porter component IIA",NA,NA,NA,"Ascorbate and aldarate metabolism, Metabolic pathways, Microbial metabolism in diverse environments, Phosphotransferase system (PTS)"
"126","USA300HOU_0360","","(GenBank) possible FMN reductase",NA,NA,NA,"Riboflavin metabolism, Sulfur metabolism, Metabolic pathways"
"127","USA300HOU_0367","","(GenBank) Tat family twin arginine targeting transporter TatC",NA,NA,NA,"Protein export, Bacterial secretion system"
"128","USA300HOU_0368","","(GenBank) Tat family twin arginine targeting transporter TatA",NA,NA,NA,"Protein export, Bacterial secretion system"
"129","USA300HOU_0375","","(GenBank) acetyl-CoA C-acetyltransferase",NA,NA,NA,"Fatty acid degradation, Valine, leucine and isoleucine degradation, Lysine degradation, Benzoate degradation, Tryptophan metabolism, Pyruvate metabolism, Glyoxylate and dicarboxylate metabolism, Butanoate metabolism, Terpenoid backbone biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites, Microbial metabolism in diverse environments, Carbon metabolism, Fatty acid metabolism, Two-component system"
"130","USA300HOU_0377","metE","(GenBank) 5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase","A8YZI1","5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity [GO:0003871]; zinc ion binding [GO:0008270]; methionine biosynthetic process [GO:0009086]; methylation [GO:0032259]",NA,"Cysteine and methionine metabolism, Selenocompound metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of amino acids"
"131","USA300HOU_0378","","(GenBank) possible bifunctional methylenetetrahydrofolate reductase/homocysteine S-methyltransferase",NA,NA,NA,"Cysteine and methionine metabolism, Selenocompound metabolism, One carbon pool by folate, Metabolic pathways, Biosynthesis of secondary metabolites, Microbial metabolism in diverse environments, Biosynthesis of amino acids"
"132","USA300HOU_0379","","(GenBank) bifunctional cystathionine gamma-lyase/gamma-synthase",NA,NA,NA,"Cysteine and methionine metabolism, Selenocompound metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of amino acids"
"133","USA300HOU_0380","","(GenBank) bifunctional cystathionine gamma-lyase/gamma-synthase",NA,NA,NA,"Cysteine and methionine metabolism, Selenocompound metabolism, Sulfur metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of amino acids"
"134","USA300HOU_0387","rpsF","(GenBank) ribosomal protein S6","A8YZJ1","ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]",NA,"Ribosome"
"135","USA300HOU_0388","ssb1","(GenBank) single-stranded DNA-binding protein",NA,NA,NA,"DNA replication, Mismatch repair, Homologous recombination"
"136","USA300HOU_0389","rpsR","(GenBank) ribosomal protein S18","A8YZJ3","ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]",NA,"Ribosome"
"137","USA300HOU_0399","","(GenBank) phosphoglycerate mutase",NA,NA,NA,"Glycolysis / Gluconeogenesis, Glycine, serine and threonine metabolism, Methane metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Microbial metabolism in diverse environments, Carbon metabolism, Biosynthesis of amino acids"
"138","USA300HOU_0405","","(GenBank) possible FMN reductase",NA,NA,NA,"Riboflavin metabolism, Metabolic pathways"
"139","USA300HOU_0411","xprT","(GenBank) xanthine phosphoribosyltransferase","A8Z0Q8","cytoplasm [GO:0005737]; xanthine phosphoribosyltransferase activity [GO:0000310]; purine ribonucleoside salvage [GO:0006166]; xanthine metabolic process [GO:0046110]; XMP salvage [GO:0032265]",NA,"Purine metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Nucleotide metabolism"
"140","USA300HOU_0413","guaB","(GenBank) IMP dehydrogenase",NA,NA,NA,"Purine metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Nucleotide metabolism"
