"","Gene_Locus_ID","Gene_Symbol","Gene_Function","Uniprot_ID","GO_Terms","eggNOG","COG_ID","COG_Category","KEGG_Pathway"
"99","SMLT_RS01150",NA,NA,NA,NA,NA,"COG2945","","NA"
"100","SMLT_RS01155",NA,NA,NA,NA,NA,"COG1485","","NA"
"101","SMLT_RS01175",NA,NA,NA,NA,NA,"COG1280","","NA"
"102","SMLT_RS01195",NA,NA,NA,NA,NA,"COG0583","","NA"
"103","SMLT_RS01200",NA,NA,NA,NA,NA,"COG0788","Purine biosynthesis","NA"
"104","SMLT_RS01215",NA,NA,NA,NA,NA,"COG1488","NAD biosynthesis","NA"
"105","SMLT_RS01220",NA,NA,NA,NA,NA,"COG1051","","NA"
"106","SMLT_RS01230",NA,NA,NA,NA,NA,"COG3800","","NA"
"107","SMLT_RS01235",NA,NA,NA,NA,NA,"COG1012","Proline degradation","NA"
"108","SMLT_RS01240",NA,NA,NA,NA,NA,"COG1960","Fatty acid biosynthesis","NA"
"109","SMLT_RS01245",NA,NA,NA,NA,NA,"COG1024","Fatty acid biosynthesis","NA"
"110","SMLT_RS01250",NA,NA,NA,NA,NA,"COG1024","Fatty acid biosynthesis","NA"
"111","SMLT_RS01255",NA,NA,NA,NA,NA,"COG2084","","NA"
"112","SMLT_RS01260",NA,NA,NA,NA,NA,"COG1764","","NA"
"113","SMLT_RS01265",NA,NA,NA,NA,NA,"COG3965","","NA"
"114","SMLT_RS01280",NA,NA,NA,NA,NA,"COG3755","","NA"
"115","SMLT_RS01285",NA,NA,NA,NA,NA,"COG0042","tRNA modification","NA"
"116","SMLT_RS01300",NA,NA,NA,NA,NA,"COG0642","","NA"
"117","SMLT_RS01400",NA,NA,NA,NA,NA,"COG1396","","NA"
"118","SMLT_RS01415",NA,NA,NA,NA,NA,"COG3500","","NA"
"119","SMLT_RS01420",NA,NA,NA,NA,NA,"COG3499","","NA"
"120","SMLT_RS01425",NA,NA,NA,NA,NA,"COG5283","","NA"
"121","SMLT_RS01440",NA,NA,NA,NA,NA,"COG3498","","NA"
"122","SMLT_RS01445",NA,NA,NA,NA,NA,"COG3497","","NA"
"123","SMLT_RS01475",NA,NA,NA,NA,NA,"COG3948","","NA"
"124","SMLT_RS01535",NA,NA,NA,NA,NA,"COG5484","","NA"
"125","SMLT_RS01540",NA,NA,NA,NA,NA,"COG5518","","NA"
"126","SMLT_RS01545",NA,NA,NA,NA,NA,"COG0863","","NA"
"127","SMLT_RS01560",NA,NA,NA,NA,NA,"COG1432","","NA"
"128","SMLT_RS01610",NA,NA,NA,NA,NA,"COG0666","","NA"
"129","SMLT_RS01615",NA,NA,NA,NA,NA,"COG0010","Urea cycle","NA"
"130","SMLT_RS01620",NA,NA,NA,NA,NA,"COG5510","","NA"
"131","SMLT_RS01645",NA,NA,NA,NA,NA,"COG0491","","NA"
"132","SMLT_RS01650",NA,NA,NA,NA,NA,"COG2234","","NA"
"133","SMLT_RS01660",NA,NA,NA,NA,NA,"COG0477","","NA"
"134","SMLT_RS01685",NA,NA,NA,NA,NA,"COG0697","","NA"
"135","SMLT_RS01690",NA,NA,NA,NA,NA,"COG2962","","NA"
"136","SMLT_RS01700",NA,NA,NA,NA,NA,"COG0577","","NA"
"137","SMLT_RS01710",NA,NA,NA,NA,NA,"COG1136","","NA"
"138","SMLT_RS01720",NA,NA,NA,NA,NA,"COG1131","","NA"
"139","SMLT_RS01735",NA,NA,NA,NA,NA,"COG2197","","NA"
"140","SMLT_RS01755",NA,NA,NA,NA,NA,"COG0260","","NA"
"141","SMLT_RS01760",NA,NA,NA,NA,NA,"COG1011","","NA"
"142","SMLT_RS01770",NA,NA,NA,NA,NA,"COG0628","","NA"
"143","SMLT_RS01790",NA,NA,NA,NA,NA,"COG0265","","NA"
"144","SMLT_RS01805",NA,NA,NA,NA,NA,"COG5507","","NA"
"145","SMLT_RS01810",NA,NA,NA,NA,NA,"COG1506","","NA"
"146","SMLT_RS01820",NA,NA,NA,NA,NA,"COG2197","","NA"
"147","SMLT_RS01835",NA,NA,NA,NA,NA,"COG2814","","NA"
"148","SMLT_RS01840",NA,NA,NA,NA,NA,"COG0583","","NA"
"149","SMLT_RS01865",NA,NA,NA,NA,NA,"COG0018","Aminoacyl-tRNA synthetases","NA"
"150","SMLT_RS01870",NA,NA,NA,NA,NA,"COG2003","","NA"
"151","SMLT_RS01875",NA,NA,NA,NA,NA,"COG2197","","NA"
"152","SMLT_RS01880",NA,NA,NA,NA,NA,"COG0452","Pantothenate/CoA biosynthesis","NA"
"153","SMLT_RS01890",NA,NA,NA,NA,NA,"COG1109","","NA"
"154","SMLT_RS01900",NA,NA,NA,NA,NA,"COG2205","","NA"
"155","SMLT_RS01905",NA,NA,NA,NA,NA,"COG2156","","NA"
"156","SMLT_RS01910",NA,NA,NA,NA,NA,"COG2216","","NA"
"157","SMLT_RS01915",NA,NA,NA,NA,NA,"COG2060","","NA"
"158","SMLT_RS01930",NA,NA,NA,NA,NA,"COG0461","Pyrimidine biosynthesis","NA"
"159","SMLT_RS01935",NA,NA,NA,NA,NA,"COG0708","","NA"
"160","SMLT_RS02015",NA,NA,NA,NA,NA,"COG2234","","NA"
"161","SMLT_RS02030",NA,NA,NA,NA,NA,"COG0793","","NA"
"162","SMLT_RS02035",NA,NA,NA,NA,NA,"COG0705","","NA"
"163","SMLT_RS02040",NA,NA,NA,NA,NA,"COG2067","","NA"
"164","SMLT_RS02055",NA,NA,NA,NA,NA,"COG0506","Proline degradation","NA"
"165","SMLT_RS02060",NA,NA,NA,NA,NA,"COG5488","","NA"
"166","SMLT_RS02085",NA,NA,NA,NA,NA,"COG1845","","NA"
"167","SMLT_RS02135",NA,NA,NA,NA,NA,"COG1295","","NA"
"168","SMLT_RS02150",NA,NA,NA,NA,NA,"COG0533","tRNA modification","NA"
"169","SMLT_RS02165",NA,NA,NA,NA,NA,"COG0668","","NA"
"170","SMLT_RS02170",NA,NA,NA,NA,NA,"COG1472","","NA"
"171","SMLT_RS02180",NA,NA,NA,NA,NA,"COG2133","","NA"
"172","SMLT_RS02195",NA,NA,NA,NA,NA,"COG0531","","NA"
"173","SMLT_RS02200",NA,NA,NA,NA,NA,"COG3786","","NA"
"174","SMLT_RS02215",NA,NA,NA,NA,NA,"COG0791","","NA"
"175","SMLT_RS02235",NA,NA,NA,NA,NA,"COG2173","","NA"
"176","SMLT_RS02240",NA,NA,NA,NA,NA,"COG3547","","NA"
"177","SMLT_RS02255",NA,NA,NA,NA,NA,"COG1011","","NA"
"178","SMLT_RS02265",NA,NA,NA,NA,NA,"COG5383","","NA, NA"
"179","SMLT_RS02275",NA,NA,NA,NA,NA,"COG1391","","NA"
"180","SMLT_RS02310",NA,NA,NA,NA,NA,"COG0778","Pyrimidine degradation","NA"
"181","SMLT_RS02345",NA,NA,NA,NA,NA,"COG2801","","NA"
"182","SMLT_RS02345",NA,NA,NA,NA,NA,"COG2963","","NA"
"183","SMLT_RS02355",NA,NA,NA,NA,NA,"COG1401","","NA"
"184","SMLT_RS02415",NA,NA,NA,NA,NA,"COG0596","Menaquinone biosynthesis","NA"
"185","SMLT_RS02460",NA,NA,NA,NA,NA,"COG1230","","NA"
"186","SMLT_RS02465",NA,NA,NA,NA,NA,"COG1937","","NA"
"187","SMLT_RS02470",NA,NA,NA,NA,NA,"COG2801","","NA"
"188","SMLT_RS02480",NA,NA,NA,NA,NA,"COG0523","","NA"
"189","SMLT_RS02485",NA,NA,NA,NA,NA,"COG0488","","NA"
"190","SMLT_RS02490",NA,NA,NA,NA,NA,"COG0583","","NA"
"191","SMLT_RS02500",NA,NA,NA,NA,NA,"COG2814","","NA"
"192","SMLT_RS02510",NA,NA,NA,NA,NA,"COG1113","","NA"
"193","SMLT_RS02530",NA,NA,NA,NA,NA,"COG3795","","NA"
"194","SMLT_RS02535",NA,NA,NA,NA,NA,"COG3795","","NA"
"195","SMLT_RS02540",NA,NA,NA,NA,NA,"COG2764","","NA"
"196","SMLT_RS02550",NA,NA,NA,NA,NA,"COG5507","","NA"
"197","SMLT_RS02575",NA,NA,NA,NA,NA,"COG1462","","NA"
"198","SMLT_RS02580",NA,NA,NA,NA,NA,"COG2234","","NA"
"199","SMLT_RS02620",NA,NA,NA,NA,NA,"COG2814","","NA"
"200","SMLT_RS02630",NA,NA,NA,NA,NA,"COG2199","","NA"
"201","SMLT_RS02630",NA,NA,NA,NA,NA,"COG2200","","NA"
"202","SMLT_RS02630",NA,NA,NA,NA,NA,"COG2202","","NA"
"203","SMLT_RS02635",NA,NA,NA,NA,NA,"COG0583","","NA"
"204","SMLT_RS02640",NA,NA,NA,NA,NA,"COG2259","","NA"
"205","SMLT_RS02650",NA,NA,NA,NA,NA,"COG0025","","NA"
"206","SMLT_RS02665",NA,NA,NA,NA,NA,"COG2801","","NA"
"207","SMLT_RS02680",NA,NA,NA,NA,NA,"COG1360","","NA"
"208","SMLT_RS02685",NA,NA,NA,NA,NA,"COG1291","","NA"
"209","SMLT_RS02710",NA,NA,NA,NA,NA,"COG0665","","NA"
"210","SMLT_RS02715",NA,NA,NA,NA,NA,"COG0787","Mureine biosynthesis","NA"
"211","SMLT_RS02740",NA,NA,NA,NA,NA,"COG2813","16S rRNA modification","NA"
"212","SMLT_RS02745",NA,NA,NA,NA,NA,"COG1187","16S rRNA modification","NA"
"213","SMLT_RS02750",NA,NA,NA,NA,NA,"COG0637","","NA"
"214","SMLT_RS02755",NA,NA,NA,NA,NA,"COG0304","Fatty acid biosynthesis","NA"
"215","SMLT_RS02770",NA,NA,NA,NA,NA,"COG0491","","NA"
"216","SMLT_RS02780",NA,NA,NA,NA,NA,"COG0583","","NA"
"217","SMLT_RS02785",NA,NA,NA,NA,NA,"COG2227","Ubiquinone biosynthesis","NA"
"218","SMLT_RS02790",NA,NA,NA,NA,NA,"COG0546","","NA"
"219","SMLT_RS02810",NA,NA,NA,NA,NA,"COG1956","","NA"
"220","SMLT_RS02820",NA,NA,NA,NA,NA,"COG1167","Lysine biosynthesis","NA"
"221","SMLT_RS02830",NA,NA,NA,NA,NA,"COG0526","","NA"
"222","SMLT_RS02830",NA,NA,NA,NA,NA,"COG0785","","NA"
"223","SMLT_RS02845",NA,NA,NA,NA,NA,"COG2205","","NA"
"224","SMLT_RS02850",NA,NA,NA,NA,NA,"COG0642","","NA"
"225","SMLT_RS02885",NA,NA,NA,NA,NA,"COG0513","","NA"
"226","SMLT_RS02895",NA,NA,NA,NA,NA,"COG0625","","NA"
"227","SMLT_RS02920",NA,NA,NA,NA,NA,"COG2885","","NA"
"228","SMLT_RS02925",NA,NA,NA,NA,NA,"COG2841","","NA"
"229","SMLT_RS02930",NA,NA,NA,NA,NA,"COG0031","Cysteine biosynthesis","NA"
"230","SMLT_RS02935",NA,NA,NA,NA,NA,"COG0626","Methionine biosynthesis","NA"
"231","SMLT_RS02945",NA,NA,NA,NA,NA,"COG1134","","NA"
"232","SMLT_RS02960",NA,NA,NA,NA,NA,"COG3754","","NA"
"233","SMLT_RS02965",NA,NA,NA,NA,NA,"COG3754","","NA"
"234","SMLT_RS02990",NA,NA,NA,NA,NA,"COG2246","","NA"
"235","SMLT_RS02995",NA,NA,NA,NA,NA,"COG2246","","NA"
"236","SMLT_RS03000",NA,NA,NA,NA,NA,"COG1232","Heme biosynthesis","NA"
"237","SMLT_RS03005",NA,NA,NA,NA,NA,"COG0702","","NA"
"238","SMLT_RS03010",NA,NA,NA,NA,NA,"COG2226","Biotin biosynthesis","NA"
"239","SMLT_RS03015",NA,NA,NA,NA,NA,"COG0300","","NA"
"240","SMLT_RS03020",NA,NA,NA,NA,NA,"COG0277","","NA"
"241","SMLT_RS03035",NA,NA,NA,NA,NA,"COG0463","","NA"
"242","SMLT_RS03040",NA,NA,NA,NA,NA,"COG2076","","NA"
"243","SMLT_RS03050",NA,NA,NA,NA,NA,"COG0451","","NA"
"244","SMLT_RS03055",NA,NA,NA,NA,NA,"COG0579","","NA"
"245","SMLT_RS03060",NA,NA,NA,NA,NA,"COG0463","","NA"
"246","SMLT_RS03070",NA,NA,NA,NA,NA,"COG1368","","NA"
"247","SMLT_RS03075",NA,NA,NA,NA,NA,"COG2025","","NA"
"248","SMLT_RS03080",NA,NA,NA,NA,NA,"COG2086","","NA"
"249","SMLT_RS03110",NA,NA,NA,NA,NA,"COG0662","","NA"
"250","SMLT_RS03115",NA,NA,NA,NA,NA,"COG1109","","NA"
"251","SMLT_RS03120",NA,NA,NA,NA,NA,"COG0553","","NA"
"252","SMLT_RS03125",NA,NA,NA,NA,NA,"COG1788","","NA"
"253","SMLT_RS03130",NA,NA,NA,NA,NA,"COG2057","","NA"
"254","SMLT_RS03135",NA,NA,NA,NA,NA,"COG3754","","NA"
"255","SMLT_RS03150",NA,NA,NA,NA,NA,"COG1463","","NA"
"256","SMLT_RS03155",NA,NA,NA,NA,NA,"COG1127","","NA"
"257","SMLT_RS03165",NA,NA,NA,NA,NA,"COG2966","","NA"
"258","SMLT_RS03175",NA,NA,NA,NA,NA,"COG0442","Aminoacyl-tRNA synthetases","NA"
"259","SMLT_RS03180",NA,NA,NA,NA,NA,"COG3547","","NA"
"260","SMLT_RS03190",NA,NA,NA,NA,NA,"COG1183","","NA"
"261","SMLT_RS03200",NA,NA,NA,NA,NA,"COG0456","","NA"
"262","SMLT_RS03205",NA,NA,NA,NA,NA,"COG0697","","NA"
"263","SMLT_RS03210",NA,NA,NA,NA,NA,"COG0525","Aminoacyl-tRNA synthetases","NA"
"264","SMLT_RS03220",NA,NA,NA,NA,NA,"COG0260","","NA"
"265","SMLT_RS03225",NA,NA,NA,NA,NA,"COG0795","","NA"
"266","SMLT_RS03230",NA,NA,NA,NA,NA,"COG0795","","NA"
"267","SMLT_RS03260",NA,NA,NA,NA,NA,"COG0046","Purine biosynthesis","NA"
"268","SMLT_RS03260",NA,NA,NA,NA,NA,"COG0047","Purine biosynthesis","NA"
"269","SMLT_RS03265",NA,NA,NA,NA,NA,"COG5295","","NA, NA"
"270","SMLT_RS03270",NA,NA,NA,NA,NA,"COG1404","","NA"
"271","SMLT_RS03275",NA,NA,NA,NA,NA,"COG2804","","NA"
"272","SMLT_RS03280",NA,NA,NA,NA,NA,"COG1459","","NA"
"273","SMLT_RS03325",NA,NA,NA,NA,NA,"COG1450","","NA"
"274","SMLT_RS03330",NA,NA,NA,NA,NA,"COG3547","","NA"
"275","SMLT_RS03345",NA,NA,NA,NA,NA,"COG1488","NAD biosynthesis","NA"
"276","SMLT_RS03355",NA,NA,NA,NA,NA,"COG3539","","NA"
"277","SMLT_RS03370",NA,NA,NA,NA,NA,"COG3539","","NA"
"278","SMLT_RS03400",NA,NA,NA,NA,NA,"COG2252","","NA"
"279","SMLT_RS03405",NA,NA,NA,NA,NA,"COG0488","","NA"
"280","SMLT_RS03410",NA,NA,NA,NA,NA,"COG5455","","NA"
"281","SMLT_RS03440",NA,NA,NA,NA,NA,"COG1985","Riboflavin/FAD biosynthesis","NA"
"282","SMLT_RS03460",NA,NA,NA,NA,NA,"COG0307","Riboflavin/FAD biosynthesis","NA"
"283","SMLT_RS03465",NA,NA,NA,NA,NA,"COG0807","Riboflavin/FAD biosynthesis","NA"
"284","SMLT_RS03470",NA,NA,NA,NA,NA,"COG0054","Riboflavin/FAD biosynthesis","NA"
"285","SMLT_RS03475",NA,NA,NA,NA,NA,"COG0781","","NA"
"286","SMLT_RS03480",NA,NA,NA,NA,NA,"COG0611","Thiamine biosynthesis","NA"
"287","SMLT_RS03490",NA,NA,NA,NA,NA,"COG3539","","NA"
"288","SMLT_RS03505",NA,NA,NA,NA,NA,"COG3539","","NA"
"289","SMLT_RS03510",NA,NA,NA,NA,NA,"COG1835","","NA"
"290","SMLT_RS03515",NA,NA,NA,NA,NA,"COG0277","","NA"
"291","SMLT_RS03520",NA,NA,NA,NA,NA,"COG1988","","NA"
"292","SMLT_RS03525",NA,NA,NA,NA,NA,"COG0792","","NA"
"293","SMLT_RS03550",NA,NA,NA,NA,NA,"COG2001","","NA"
"294","SMLT_RS03555",NA,NA,NA,NA,NA,"COG0275","16S rRNA modification","NA"
"295","SMLT_RS03580",NA,NA,NA,NA,NA,"COG0472","Mureine biosynthesis","NA"
"296","SMLT_RS03590",NA,NA,NA,NA,NA,"COG0707","Mureine biosynthesis","NA"
"297","SMLT_RS03600",NA,NA,NA,NA,NA,"COG1181","Mureine biosynthesis","NA"
"298","SMLT_RS03635",NA,NA,NA,NA,NA,"COG0653","","NA"
"299","SMLT_RS03640",NA,NA,NA,NA,NA,"COG1051","","NA"
"300","SMLT_RS03650",NA,NA,NA,NA,NA,"COG0685","","NA"
"301","SMLT_RS03655",NA,NA,NA,NA,NA,"COG0596","Menaquinone biosynthesis","NA"
"302","SMLT_RS03670",NA,NA,NA,NA,NA,"COG1228","","NA"
"303","SMLT_RS03690",NA,NA,NA,NA,NA,"COG0499","","NA"
"304","SMLT_RS03695",NA,NA,NA,NA,NA,"COG1506","","NA"
"305","SMLT_RS03725",NA,NA,NA,NA,NA,"COG1988","","NA"
"306","SMLT_RS03730",NA,NA,NA,NA,NA,"COG0463","","NA"
"307","SMLT_RS03740",NA,NA,NA,NA,NA,"COG2226","Biotin biosynthesis","NA"
"308","SMLT_RS03745",NA,NA,NA,NA,NA,"COG0042","tRNA modification","NA"
"309","SMLT_RS03755",NA,NA,NA,NA,NA,"COG0583","","NA"
"310","SMLT_RS03760",NA,NA,NA,NA,NA,"COG2814","","NA"
"311","SMLT_RS03765",NA,NA,NA,NA,NA,"COG0524","Glycolysis","NA"
"312","SMLT_RS03770",NA,NA,NA,NA,NA,"COG1972","","NA"
"313","SMLT_RS03775",NA,NA,NA,NA,NA,"COG0667","","NA"
"314","SMLT_RS03810",NA,NA,NA,NA,NA,"COG2755","","NA"
"315","SMLT_RS03820",NA,NA,NA,NA,NA,"COG0642","","NA"
"316","SMLT_RS03825",NA,NA,NA,NA,NA,"COG2755","","NA"
"317","SMLT_RS03830",NA,NA,NA,NA,NA,"COG0818","","NA"
"318","SMLT_RS03835",NA,NA,NA,NA,NA,"COG0861","","NA"
"319","SMLT_RS03840",NA,NA,NA,NA,NA,"COG2814","","NA"
"320","SMLT_RS03860",NA,NA,NA,NA,NA,"COG1512","","NA"
"321","SMLT_RS03865",NA,NA,NA,NA,NA,"COG3762","","NA"
"322","SMLT_RS03870",NA,NA,NA,NA,NA,"COG0682","","NA"
"323","SMLT_RS03880",NA,NA,NA,NA,NA,"COG0262","Folate biosynthesis","NA"
"324","SMLT_RS03890",NA,NA,NA,NA,NA,"COG0639","","NA"
"325","SMLT_RS03895",NA,NA,NA,NA,NA,"COG2967","","NA"
"326","SMLT_RS03900",NA,NA,NA,NA,NA,"COG0030","16S rRNA modification","NA"
"327","SMLT_RS03905",NA,NA,NA,NA,NA,"COG1995","Pyridoxal phosphate biosynthesis","NA"
"328","SMLT_RS03915",NA,NA,NA,NA,NA,"COG1452","","NA"
"329","SMLT_RS03925",NA,NA,NA,NA,NA,"COG2096","Cobalamine/B12 biosynthesis","NA"
"330","SMLT_RS03935",NA,NA,NA,NA,NA,"COG0654","Ubiquinone biosynthesis","NA"
