"","Gene_Locus_ID","Gene_Symbol","Gene_Function","Uniprot_ID","GO_Terms","eggNOG","COG_ID","COG_Category","KEGG_Pathway"
"47","BT_0043",NA,NA,"Q8ABR7","transferase activity [GO:0016740]",NA,NA,NA,NA
"48","BT_0044",NA,NA,"Q8ABR6","transferase activity [GO:0016740]","COG0463","COG0463","","NA"
"49","BT_0045",NA,NA,"Q8ABR5","integral component of membrane [GO:0016021]; acyltransferase activity, transferring groups other than amino-acyl groups [GO:0016747]","COG1835",NA,NA,NA
"50","BT_0046",NA,NA,"Q8ABR4","transferase activity [GO:0016740]","COG0463","COG0463","","NA"
"51","BT_0047",NA,NA,"Q8ABR3","glycosyltransferase activity [GO:0016757]","COG1216","COG0463","","NA"
"52","BT_0048",NA,NA,"Q8ABR2",NA,NA,NA,NA,NA
"53","BT_0049",NA,NA,"Q8ABR1","transferase activity [GO:0016740]","COG1442",NA,NA,NA
"54","BT_0050",NA,NA,"Q8ABR0","transferase activity [GO:0016740]","COG1215","COG0463","","NA"
"55","BT_0051",NA,NA,"Q8ABQ9","transferase activity [GO:0016740]","COG1215","COG0463","","NA"
"56","BT_0052",NA,NA,"Q8ABQ8","integral component of membrane [GO:0016021]","ENOG50335D3",NA,NA,NA
"57","BT_0053",NA,NA,"Q8ABQ7","glycosyltransferase activity [GO:0016757]","COG0438","COG0438","","NA"
"58","BT_0054",NA,NA,"Q8ABQ6","glycosyltransferase activity [GO:0016757]; lipopolysaccharide biosynthetic process [GO:0009103]","COG0438","COG0438","","NA"
"59","BT_0055",NA,NA,"Q8ABQ5","glycosyltransferase activity [GO:0016757]","COG0438","COG0438","","NA"
"60","BT_0056",NA,NA,"Q8ABQ4","integral component of plasma membrane [GO:0005887]; phospho-N-acetylmuramoyl-pentapeptide-transferase activity [GO:0008963]; phosphotransferase activity, for other substituted phosphate groups [GO:0016780]; cell wall macromolecule biosynthetic process [GO:0044038]; cell wall organization [GO:0071555]; lipopolysaccharide biosynthetic process [GO:0009103]","COG0472","COG0472","Mureine biosynthesis","NA"
"61","BT_0057",NA,NA,"Q8ABQ3",NA,"ENOG502ZZE2",NA,NA,NA
"62","BT_0058",NA,NA,"Q8ABQ2",NA,"COG2244",NA,NA,NA
"63","BT_0059",NA,NA,"Q8ABQ1",NA,"ENOG502ZDY4",NA,NA,NA
"64","BT_0060","","(GenBank) putative polysaccharide export protein","Q8ABQ0","integral component of membrane [GO:0016021]; polysaccharide transmembrane transporter activity [GO:0015159]","COG1596",NA,NA,"Two-component system"
"65","BT_0061","","(GenBank) putative tyrosine-protein kinase ptk","Q8ABP9","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; protein tyrosine kinase activity [GO:0004713]; extracellular polysaccharide biosynthetic process [GO:0045226]","COG3206","COG0489","","Two-component system"
"66","BT_0061","","(GenBank) putative tyrosine-protein kinase ptk","Q8ABP9","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; protein tyrosine kinase activity [GO:0004713]; extracellular polysaccharide biosynthetic process [GO:0045226]","COG0489","COG0489","","Two-component system"
"67","BT_0062",NA,NA,"Q8ABP8",NA,"ENOG5030XNB",NA,NA,NA
"68","BT_0063",NA,NA,"Q8ABP7",NA,"ENOG5030NY7",NA,NA,NA
"69","BT_0064",NA,NA,"Q8ABP6","phosphoric diester hydrolase activity [GO:0008081]; lipid metabolic process [GO:0006629]","COG0823",NA,NA,NA
"70","BT_0065",NA,NA,"Q8ABP5","raffinose alpha-galactosidase activity [GO:0052692]; carbohydrate metabolic process [GO:0005975]","COG1501",NA,NA,NA
"71","BT_0066",NA,NA,"Q8ABP4","cell outer membrane [GO:0009279]","COG2885","COG2885","","NA"
"72","BT_0067",NA,NA,"Q8ABP3",NA,"ENOG5030XI5",NA,NA,NA
"73","BT_0068",NA,NA,"Q8ABP2",NA,"ENOG5030XMD",NA,NA,NA
"74","BT_0069",NA,NA,"Q8ABP1",NA,"COG3666",NA,NA,NA
"75","BT_0070",NA,NA,"Q8ABP0",NA,"COG3666",NA,NA,NA
"76","BT_0071",NA,NA,"Q8ABN9",NA,NA,NA,NA,NA
"77","BT_0072",NA,NA,"Q8ABN8","integral component of membrane [GO:0016021]; ATP binding [GO:0005524]","COG1132",NA,NA,NA
"78","BT_0073",NA,NA,"Q8ABN7","integral component of plasma membrane [GO:0005887]; ABC-type transporter activity [GO:0140359]; ATP binding [GO:0005524]; ATPase-coupled transmembrane transporter activity [GO:0042626]","COG1132","COG1132","","NA"
"79","BT_0074",NA,NA,"Q8ABN6",NA,"COG0681",NA,NA,NA
"80","BT_0075",NA,NA,"Q8ABN5",NA,"ENOG5030IFP",NA,NA,NA
"81","BT_0076",NA,NA,"Q8ABN4","DNA binding [GO:0003677]; DNA integration [GO:0015074]; DNA recombination [GO:0006310]","COG0582",NA,NA,NA
"82","BT_0077",NA,NA,"Q8ABN3",NA,"COG3646",NA,NA,NA
"83","BT_0078",NA,NA,"Q8ABN2","metal ion binding [GO:0046872]; metallopeptidase activity [GO:0008237]","COG2003","COG2003","","NA"
"84","BT_0079",NA,NA,"Q8ABN1",NA,"COG4734",NA,NA,NA
"85","BT_0080",NA,NA,"Q8ABN0","integral component of membrane [GO:0016021]","ENOG503161J",NA,NA,NA
"86","BT_0081",NA,NA,"Q8ABM9",NA,"ENOG50334H3",NA,NA,NA
"87","BT_0082",NA,NA,"Q8ABM8",NA,"ENOG5032TBK",NA,NA,NA
"88","BT_0083",NA,NA,"Q8ABM7",NA,"ENOG5032UUC",NA,NA,NA
"89","BT_0084",NA,NA,"Q8ABM6",NA,"ENOG5032UH2",NA,NA,NA
"90","BT_0085",NA,NA,"Q8ABM5",NA,"ENOG502Z9AW",NA,NA,NA
"91","BT_0086",NA,NA,"Q8ABM4",NA,"COG3504",NA,NA,NA
"92","BT_0087",NA,NA,"Q8ABM3","integral component of membrane [GO:0016021]","ENOG502Z7X2",NA,NA,NA
"93","BT_0088",NA,NA,"Q8ABM2","integral component of membrane [GO:0016021]","ENOG5033VK3",NA,NA,NA
"94","BT_0089",NA,NA,"Q8ABM1","integral component of membrane [GO:0016021]","COG3701",NA,NA,NA
"95","BT_0090",NA,NA,"Q8ABM0","integral component of membrane [GO:0016021]","ENOG502Z8G6",NA,NA,NA
"96","BT_0091",NA,NA,"Q8ABL9",NA,"COG5314",NA,NA,NA
"97","BT_0092",NA,NA,"Q8ABL8",NA,"ENOG502ZC52",NA,NA,NA
"98","BT_0093",NA,NA,"Q8ABL7",NA,"COG3451",NA,NA,NA
"99","BT_0094",NA,NA,"Q8ABL6","integral component of membrane [GO:0016021]","ENOG502ZR4G",NA,NA,NA
"100","BT_0095",NA,NA,"Q8ABL5","integral component of membrane [GO:0016021]","ENOG5031KUP",NA,NA,NA
"101","BT_0096",NA,NA,"Q8ABL4",NA,"ENOG502ZA2X",NA,NA,NA
"102","BT_0097",NA,NA,"Q8ABL3",NA,"ENOG5031YHG",NA,NA,NA
"103","BT_0098",NA,NA,"Q8ABL2",NA,"COG1192","COG1192","","NA"
"104","BT_0099",NA,NA,"Q8ABL1",NA,"ENOG50341QP",NA,NA,NA
"105","BT_0100",NA,NA,"Q8ABL0",NA,"ENOG502Z8XW",NA,NA,NA
"106","BT_0101",NA,NA,"Q8ABK9",NA,"COG3843",NA,NA,NA
"107","BT_0102",NA,NA,"Q8ABK8","integral component of membrane [GO:0016021]","COG3505","COG3505","","NA"
"108","BT_0103",NA,NA,"Q8ABK7",NA,"ENOG502Z86V",NA,NA,NA
"109","BT_0104",NA,NA,"Q8ABK6",NA,"ENOG50349DX",NA,NA,NA
"110","BT_0105",NA,NA,"Q8ABK5","DNA binding [GO:0003677]; DNA topoisomerase type I (single strand cut, ATP-independent) activity [GO:0003917]; DNA topological change [GO:0006265]","COG0550","COG0550","","NA"
"111","BT_0106",NA,NA,"Q8ABK4","5-amino-6-(5-phosphoribosylamino)uracil reductase activity [GO:0008703]; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]; riboflavin biosynthetic process [GO:0009231]","COG0262","COG0262","Folate biosynthesis","NA"
"112","BT_0107",NA,NA,"Q8ABK3",NA,"ENOG50333QA",NA,NA,NA
"113","BT_0108",NA,NA,"Q8ABK2",NA,"COG0358",NA,NA,NA
"114","BT_0109",NA,NA,"Q8ABK1",NA,"ENOG502ZXVC",NA,NA,NA
"115","BT_0110",NA,NA,"Q8ABK0",NA,"ENOG502ZAA7",NA,NA,NA
"116","BT_0111",NA,NA,"Q8ABJ9",NA,"ENOG502ZYHJ",NA,NA,NA
"117","BT_0112",NA,NA,"Q8ABJ8","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]","COG0701","COG0701","","NA"
"118","BT_0113",NA,NA,"Q8ABJ7","integral component of membrane [GO:0016021]","ENOG502ZMG9",NA,NA,NA
"119","BT_0114",NA,NA,"Q8ABJ6","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; antimonite transmembrane transporter activity [GO:0015104]; antiporter activity [GO:0015297]; arsenite transmembrane transporter activity [GO:0015105]; antimonite transport [GO:0015699]; arsenite transport [GO:0015700]","COG0798","COG0798","","NA"
"120","BT_0115",NA,NA,"Q8ABJ5",NA,"COG0394",NA,NA,NA
"121","BT_0116",NA,NA,"Q8ABJ4","ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATPase-coupled arsenite transmembrane transporter activity [GO:0015446]","COG0003","COG0003","","NA, NA"
"122","BT_0117",NA,NA,"Q8ABJ3","DNA binding [GO:0003677]; negative regulation of transcription, DNA-templated [GO:0045892]; response to arsenic-containing substance [GO:0046685]","ENOG5032RMG",NA,NA,NA
"123","BT_0118",NA,NA,"Q8ABJ2","integral component of membrane [GO:0016021]","COG4232",NA,NA,NA
"124","BT_0119",NA,NA,"Q8ABJ1",NA,"ENOG50333W7",NA,NA,NA
"125","BT_0120",NA,NA,"Q8ABJ0",NA,"COG0526",NA,NA,NA
"126","BT_0121",NA,NA,"Q8ABI9","DNA-binding transcription factor activity [GO:0003700]; regulation of transcription, DNA-templated [GO:0006355]","COG0640","COG0640","","NA"
"127","BT_0122","","(GenBank) 3-oxoacyl-[acyl-carrier-protein] synthase III","Q8ABI8","cytoplasm [GO:0005737]; 3-oxoacyl-[acyl-carrier-protein] synthase activity [GO:0004315]; beta-ketoacyl-acyl-carrier-protein synthase III activity [GO:0033818]; fatty acid biosynthetic process [GO:0006633]; fatty acid metabolic process [GO:0006631]","COG0332",NA,NA,"Fatty acid biosynthesis, Metabolic pathways, Fatty acid metabolism"
"128","BT_0123",NA,NA,"Q8ABI7","2 iron, 2 sulfur cluster binding [GO:0051537]; metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]","COG1905",NA,NA,NA
"129","BT_0124",NA,NA,"Q8ABI6","plasma membrane respiratory chain complex I [GO:0045272]; 4 iron, 4 sulfur cluster binding [GO:0051539]; ferredoxin hydrogenase activity [GO:0008901]; iron ion binding [GO:0005506]; cellular respiration [GO:0045333]","COG4624",NA,NA,NA
"130","BT_0124",NA,NA,"Q8ABI6","plasma membrane respiratory chain complex I [GO:0045272]; 4 iron, 4 sulfur cluster binding [GO:0051539]; ferredoxin hydrogenase activity [GO:0008901]; iron ion binding [GO:0005506]; cellular respiration [GO:0045333]","COG3383",NA,NA,NA
"131","BT_0125",NA,NA,"Q8ABI5","membrane [GO:0016020]; 4 iron, 4 sulfur cluster binding [GO:0051539]; FMN binding [GO:0010181]; metal ion binding [GO:0046872]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]","COG1894","COG1894","NADH dehydrogenase","NA"
"132","BT_0125",NA,NA,"Q8ABI5","membrane [GO:0016020]; 4 iron, 4 sulfur cluster binding [GO:0051539]; FMN binding [GO:0010181]; metal ion binding [GO:0046872]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]","COG1894","COG2878","Na+-translocating Fd:NADH oxidoreductase","NA"
"133","BT_0126",NA,NA,"Q8ABI4","hydrolase activity, acting on glycosyl bonds [GO:0016798]; lyase activity [GO:0016829]; metabolic process [GO:0008152]","ENOG502Z862",NA,NA,NA
"134","BT_0127",NA,NA,"Q8ABI3","integral component of membrane [GO:0016021]; periplasmic space [GO:0042597]; carbohydrate binding [GO:0030246]; lyase activity [GO:0016829]; polygalacturonase activity [GO:0004650]; raffinose alpha-galactosidase activity [GO:0052692]; carbohydrate metabolic process [GO:0005975]","COG5434",NA,NA,NA
"135","BT_0128",NA,NA,"Q8ABI2",NA,"ENOG50315HH",NA,NA,NA
"136","BT_0129","","(GenBank) mannonate dehydratase","Q8ABI1","ferrous iron binding [GO:0008198]; manganese ion binding [GO:0030145]; mannonate dehydratase activity [GO:0008927]; D-glucuronate catabolic process [GO:0042840]","COG1312",NA,NA,"Pentose and glucuronate interconversions, Metabolic pathways"
"137","BT_0130",NA,NA,"Q8ABI0","oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]","COG1028","COG1028","Fatty acid biosynthesis","NA"
"138","BT_0131",NA,NA,"Q8ABH9","DNA binding [GO:0003677]; transposase activity [GO:0004803]; transposition, DNA-mediated [GO:0006313]","COG3385",NA,NA,NA
"139","BT_0132","","(GenBank) alpha-glucosidase, putative","Q8ABH8","carbohydrate binding [GO:0030246]; catalytic activity [GO:0003824]","COG1082",NA,NA,"Galactose metabolism, Starch and sucrose metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
"140","BT_0133","","(GenBank) putative sugar phosphate isomerase","Q8ABH7","carbohydrate derivative binding [GO:0097367]; carbon-oxygen lyase activity [GO:0016835]; ether hydrolase activity [GO:0016803]; amino sugar catabolic process [GO:0046348]; carbohydrate metabolic process [GO:0005975]; N-acetylmuramic acid catabolic process [GO:0097173]; peptidoglycan turnover [GO:0009254]","COG2103","COG2103","","Amino sugar and nucleotide sugar metabolism, Metabolic pathways"
"141","BT_0134",NA,NA,"Q8ABH6",NA,"ENOG5032SI8",NA,NA,NA
"142","BT_0135",NA,NA,"Q8ABH5",NA,"COG1718",NA,NA,NA
"143","BT_0136",NA,NA,"Q8ABH4",NA,"COG0627",NA,NA,NA
"144","BT_0137",NA,NA,"Q8ABH3","carbohydrate metabolic process [GO:0005975]","COG3533","COG3533","","NA"
"145","BT_0138",NA,NA,"Q8ABH2","integral component of membrane [GO:0016021]; DNA-binding transcription factor activity [GO:0003700]; phosphorelay sensor kinase activity [GO:0000155]; sequence-specific DNA binding [GO:0043565]","COG2207","COG2207","","NA"
"146","BT_0138",NA,NA,"Q8ABH2","integral component of membrane [GO:0016021]; DNA-binding transcription factor activity [GO:0003700]; phosphorelay sensor kinase activity [GO:0000155]; sequence-specific DNA binding [GO:0043565]","COG3292","COG2207","","NA"
"147","BT_0139",NA,NA,"Q8ABH1","DNA binding [GO:0003677]; sigma factor activity [GO:0016987]; DNA-templated transcription, initiation [GO:0006352]; response to stimulus [GO:0050896]","COG1595",NA,NA,NA
"148","BT_0140",NA,NA,"Q8ABH0","cell outer membrane [GO:0009279]; extracellular space [GO:0005615]; metallocarboxypeptidase activity [GO:0004181]; peptide metabolic process [GO:0006518]; protein processing [GO:0016485]","COG4206",NA,NA,NA
"149","BT_0141",NA,NA,"Q8ABG9","cell outer membrane [GO:0009279]","COG0457",NA,NA,NA
"150","BT_0142",NA,NA,"Q8ABG8",NA,"COG5492","COG5492","","NA"
"151","BT_0143",NA,NA,"Q8ABG7","integral component of membrane [GO:0016021]; periplasmic space [GO:0042597]; lyase activity [GO:0016829]","COG4733",NA,NA,NA
"152","BT_0144",NA,NA,"Q8ABG6",NA,"COG3507","COG3507","","NA"
"153","BT_0145",NA,NA,"Q8ABG5","hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]; carbohydrate metabolic process [GO:0005975]","COG3507","COG3507","","NA"
"154","BT_0146",NA,NA,"Q8ABG4","chondroitin hydrolase activity [GO:0052757]; polysaccharide catabolic process [GO:0000272]","COG4225",NA,NA,NA
"155","BT_0147",NA,NA,"Q8ABG3",NA,"COG3015",NA,NA,NA
"156","BT_0148",NA,NA,"Q8ABG2","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; flavin adenine dinucleotide binding [GO:0050660]","COG1253","COG1253","","NA"
"157","BT_0149",NA,NA,"Q8ABG1","membrane [GO:0016020]; metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]; proteolysis involved in cellular protein catabolic process [GO:0051603]","COG0501",NA,NA,NA
"158","BT_0150",NA,NA,"Q8ABG0","cell outer membrane [GO:0009279]; extracellular space [GO:0005615]; metallocarboxypeptidase activity [GO:0004181]; peptide metabolic process [GO:0006518]; protein processing [GO:0016485]","COG4771",NA,NA,NA
"159","BT_0151",NA,NA,"Q8ABF9",NA,"ENOG5031EDH",NA,NA,NA
"160","BT_0152",NA,NA,"Q8ABF8","acyltransferase activity, transferring groups other than amino-acyl groups [GO:0016747]; mycolate cell wall layer assembly [GO:0071769]","COG0627","COG0627","","NA"
"161","BT_0153",NA,NA,"Q8ABF7",NA,"ENOG50308W8",NA,NA,NA
"162","BT_0154",NA,NA,"Q8ABF6","outer membrane-bounded periplasmic space [GO:0030288]; endopeptidase activity [GO:0004175]; serine-type peptidase activity [GO:0008236]; signal transduction [GO:0007165]","COG0793","COG0793","","NA"
"163","BT_0155","","(GenBank) putative tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase","Q8ABF5","cytoplasm [GO:0005737]; ATP binding [GO:0005524]; sulfurtransferase activity [GO:0016783]; tRNA binding [GO:0000049]; tRNA modification [GO:0006400]","COG0482","COG0482","tRNA modification","Sulfur relay system"
"164","BT_0156",NA,NA,"Q8ABF4","DNA binding [GO:0003677]; regulation of transcription, DNA-templated [GO:0006355]","COG2197","COG2197","","NA"
"165","BT_0157",NA,NA,"Q8ABF3",NA,"ENOG502ZPPH",NA,NA,NA
"166","BT_0158",NA,NA,"Q8ABF2","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]","COG1757",NA,NA,NA
"167","BT_0159",NA,NA,"Q8ABF1","integral component of membrane [GO:0016021]; membrane [GO:0016020]; iron ion transmembrane transporter activity [GO:0005381]; manganese ion transmembrane transporter activity [GO:0005384]; cellular manganese ion homeostasis [GO:0030026]; intracellular sequestering of iron ion [GO:0006880]","COG1814","COG1814","","NA"
"168","BT_0160",NA,NA,"Q8ABF0","integral component of membrane [GO:0016021]","ENOG5032Y15",NA,NA,NA
"169","BT_0161",NA,NA,"Q8ABE9","integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857]","COG2814","COG2814","","NA"
"170","BT_0162","","(GenBank) penicillin-binding protein 1C (PBP-1c)","Q8ABE8","carboxypeptidase activity [GO:0004180]; penicillin binding [GO:0008658]; peptidoglycan glycosyltransferase activity [GO:0008955]; peptidoglycan biosynthetic process [GO:0009252]; response to antibiotic [GO:0046677]","COG4953",NA,NA,"Peptidoglycan biosynthesis, Metabolic pathways"
"171","BT_0163",NA,NA,"Q8ABE7",NA,"COG2373",NA,NA,NA
"172","BT_0164",NA,NA,"Q8ABE6","endopeptidase inhibitor activity [GO:0004866]","COG2373",NA,NA,NA
"173","BT_0165",NA,NA,"Q8ABE5","peptidyl-prolyl cis-trans isomerase activity [GO:0003755]","COG0545","COG0545","","NA"
"174","BT_0166",NA,NA,"Q8ABE4","cytoplasm [GO:0005737]; isomerase activity [GO:0016853]; thioredoxin peroxidase activity [GO:0008379]; cell redox homeostasis [GO:0045454]; cellular response to oxidative stress [GO:0034599]","COG0526","COG1225","","NA"
"175","BT_0167",NA,NA,"Q8ABE3","toxin-antitoxin complex [GO:0110001]; ribonuclease activity [GO:0004540]","COG2361",NA,NA,NA
"176","BT_0168",NA,NA,"Q8ABE2","transferase activity [GO:0016740]","COG1669",NA,NA,NA
"177","BT_0169",NA,NA,"Q8ABE1","endonuclease activity [GO:0004519]; exonuclease activity [GO:0004527]","COG0708",NA,NA,NA
"178","BT_0170",NA,NA,"Q8ABE0","integral component of membrane [GO:0016021]","COG4828",NA,NA,NA
"179","BT_0171",NA,NA,"Q8ABD9","metallopeptidase activity [GO:0008237]","COG3291",NA,NA,NA
"180","BT_0172",NA,NA,"Q8ABD8",NA,"ENOG5030WFS",NA,NA,NA
"181","BT_0173",NA,NA,"Q8ABD7",NA,"ENOG502Z7JK",NA,NA,NA
"182","BT_0174",NA,NA,"Q8ABD6","cytoplasm [GO:0005737]; 2 iron, 2 sulfur cluster binding [GO:0051537]; ferrous iron binding [GO:0008198]; cellular iron ion homeostasis [GO:0006879]","COG0822","COG0822","","NA"
"183","BT_0175",NA,NA,"Q8ABD5","integral component of membrane [GO:0016021]","ENOG5032TIN",NA,NA,NA
"184","BT_0176",NA,NA,"Q8ABD4",NA,"ENOG5031TKA",NA,NA,NA
"185","BT_0177",NA,NA,"Q8ABD3",NA,"ENOG5032CCV",NA,NA,NA
"186","BT_0178",NA,NA,"Q8ABD2","integral component of membrane [GO:0016021]","ENOG5032UIZ",NA,NA,NA
"187","BT_0179",NA,NA,"Q8ABD1","cytosol [GO:0005829]; RNA binding [GO:0003723]; trans-translation [GO:0070929]; trans-translation-dependent protein tagging [GO:0070930]","COG0691","COG0691","","NA"
